Total population,White alone,Black alone,American Indian alone,Asian alone,Hawaiian alone,Hispanic,Other alone,Two or more,Census Tract,Poverty
4085,579,128,13,620,0,2745,0,0,6037119310,806
5426,392,10,0,458,0,4525,11,30,6037119400,815
2995,1016,46,0,628,41,1156,0,108,6037109200,130
3272,1481,76,9,723,0,930,17,36,6037113212,304
2424,1422,311,0,260,0,254,0,177,6037113231,159
4284,1912,51,0,946,0,1270,0,105,6037113322,293
6810,1354,480,0,986,29,3863,43,55,6037113421,1393
4005,1701,90,0,723,0,1323,27,141,6037117301,330
4729,1972,79,0,520,0,2097,0,61,6037117404,1083
4901,1156,30,0,750,0,2965,0,0,6037121010,1219
2542,1053,37,0,636,0,763,0,53,6037121600,208
7278,362,2249,0,90,0,4362,151,64,6037231600,2240
3167,394,107,0,490,16,1998,0,162,6037224410,1187
4806,3521,17,0,441,0,731,0,96,6111005306,215
3999,2208,0,0,235,0,1439,0,117,6111005404,476
6581,2794,64,79,355,0,3127,0,162,6111007100,986
3537,2623,128,12,179,25,453,16,101,6111007201,161
3925,1941,61,43,411,64,1193,16,196,6111008306,213
8429,6069,0,71,919,0,1169,0,201,6111008500,453
5921,4394,8,14,145,21,1132,0,207,6111000903,529
5429,2516,232,16,248,0,2246,0,171,6111001503,927
4919,2193,409,9,147,0,2054,0,107,6111001201,688
2258,726,17,0,140,0,1360,0,15,6111001302,798
5125,3058,0,0,235,0,1784,0,48,6111001402,988
3549,2930,156,0,50,0,376,0,37,6111005907,283
8671,3311,194,0,1919,0,3237,0,10,6111006100,1728
3860,2484,183,13,343,3,705,0,129,6111006302,438
2083,1751,4,7,57,0,177,0,87,6111007300,131
6120,5137,80,0,394,0,509,0,0,6111007402,158
6687,4991,35,0,749,17,764,16,115,6111007507,15
5717,3393,25,0,422,0,1667,0,210,6111008302,711
5654,4205,0,0,369,0,993,0,87,6111008402,429
5019,3097,0,80,74,0,1642,0,126,6111001101,408
4033,2454,27,0,283,0,1055,21,193,6111001401,177
5498,837,115,0,342,21,4057,0,126,6111004200,581
2241,1385,222,21,149,21,252,0,191,6111004600,396
4715,3659,80,72,123,0,630,0,151,6111001800,202
560,488,0,0,5,0,45,0,22,6111000100,27
1648,590,0,0,27,0,1026,0,5,6111000500,373
2508,2170,6,0,12,0,300,0,20,6111000901,280
2089,1781,5,5,17,0,253,0,28,6111000902,351
4333,2596,53,0,1264,0,266,25,129,6085511701,260
4269,1080,28,16,844,487,1588,0,226,6081607701,611
3527,1475,31,0,822,157,804,14,224,6081607800,309
3654,1613,95,15,1478,0,267,0,186,6081608002,107
3985,1578,107,0,1909,0,301,9,81,6081608013,109
1783,1263,0,0,318,0,99,0,103,6081609602,71
4894,3029,22,5,555,0,1082,0,201,6081610000,360
4905,770,32,0,322,0,3713,0,68,6081610500,1126
6051,557,87,0,439,0,4820,15,133,6081610601,1689
6663,3032,94,0,568,0,2737,0,232,6081611000,546
2855,2038,22,0,108,0,556,29,102,6081611200,129
5404,3542,9,0,609,0,949,0,295,6081611300,217
8658,1414,434,0,557,704,5315,65,169,6081612100,2175
5864,278,202,0,2476,81,2645,0,182,6081600600,895
2812,673,64,0,1054,0,915,11,95,6081601601,252
3974,2674,44,0,350,0,721,0,185,6081603200,193
2917,927,124,0,1283,68,321,61,133,6081604102,207
3035,824,0,0,1702,0,434,16,59,6081604900,298
8447,3724,166,0,3180,17,735,31,594,6081605000,496
3171,1726,43,0,692,0,456,0,254,6081605100,443
3644,2418,25,1,790,11,198,0,201,6081605200,186
7947,1049,530,47,1258,232,4465,0,366,6081606200,1622
3591,2525,34,0,600,1,218,0,213,6081606500,83
3703,2024,4,0,634,37,866,0,138,6081606600,295
3279,384,108,16,667,92,1970,0,42,6081602100,55
2731,1443,42,0,779,46,222,9,190,6081606900,566
3801,1656,77,0,900,0,1090,3,75,6081607600,513
5712,1003,48,0,3786,109,666,2,98,6081601603,487
5785,3483,49,19,590,0,1392,0,252,6081603400,277
8125,1267,92,9,1696,544,4196,0,321,6081604101,1528
4445,947,52,0,758,283,1925,124,356,6081604200,243
5196,1376,43,12,2596,1,895,67,206,6081604400,454
2694,1086,17,11,1300,0,179,11,90,6081604700,130
5035,1733,50,0,2269,26,704,0,253,6081604800,297
5805,3809,31,0,989,0,658,46,272,6081605400,237
5556,2678,80,15,1351,41,1015,51,325,6081605900,508
5010,1261,85,0,733,467,2280,20,164,6081606100,665
3325,2691,9,0,345,0,112,24,144,6081609400,73
4908,3141,0,0,954,0,633,0,180,6081609500,42
4692,3742,44,0,312,0,339,0,255,6081609700,147
6768,5041,11,99,684,58,603,0,272,6081611100,171
5405,530,1035,9,117,390,3115,0,209,6081611700,1096
3981,2622,2,0,916,0,206,67,168,6081613000,516
8477,613,16,17,4803,0,2874,2,152,6081600500,809
2693,824,162,0,1262,0,297,30,118,6081601604,215
7164,1120,19,0,4574,0,1237,0,214,6081601400,1183
4855,1696,135,0,1861,0,967,0,196,6081602800,310
4079,221,67,0,166,279,3297,0,49,6081610203,1000
7025,1052,303,10,3982,56,1433,8,181,6081601000,523
3591,1418,73,8,304,0,1674,63,51,6081610602,555
3106,881,123,0,536,262,1015,73,216,6081607702,451
4467,3839,0,97,6,0,310,0,215,6109002100,1186
3785,2839,78,8,74,29,649,18,90,6109001100,575
3527,2570,1,17,267,0,481,0,191,6109001200,1069
5709,4668,2,92,72,0,711,0,164,6109003200,827
8403,7249,55,55,32,12,691,16,293,6109002200,906
5332,4345,3,106,15,9,674,0,180,6109004100,868
2143,1601,91,3,14,6,349,6,73,6109005201,240
6549,5596,0,66,108,24,685,0,70,6109003100,710
3290,2848,0,75,41,11,254,0,61,6109004200,674
8262,7123,1,167,29,0,890,0,52,6109005100,1743
5357,1712,544,16,472,0,2478,0,135,6077001000,1250
5293,2848,97,48,782,7,1293,5,213,6077001200,533
4606,1359,291,11,728,0,1922,6,289,6077001400,1312
3385,205,351,0,141,34,2593,0,61,6077002000,1350
3909,2191,175,0,395,0,1004,15,129,6077003106,696
4493,2076,592,0,445,0,1218,0,162,6077003108,592
2893,1814,0,4,74,0,920,0,81,6077004701,377
3583,1920,162,7,259,0,973,0,262,6077003203,1112
3638,761,434,0,720,60,1497,26,140,6077003311,1301
3099,743,40,0,48,0,2212,4,52,6077003700,780
6757,2851,225,40,1191,22,2043,133,252,6077005122,630
3884,1440,355,0,581,0,1285,10,213,6077003209,326
2260,571,86,0,203,0,1368,0,32,6077001600,957
4969,332,789,0,16,0,3769,0,63,6077001900,2145
4301,1755,278,0,649,0,1397,0,222,6077003205,1098
6244,932,847,0,2026,39,2319,0,81,6077003404,2092
5941,3087,63,27,89,0,2506,0,169,6077004800,603
7762,5574,47,0,29,0,1982,0,130,6077004901,832
1886,865,85,12,23,0,859,0,42,6077005125,373
7282,2333,30,10,452,0,4087,0,370,6077005302,1345
4055,473,911,27,377,44,2132,0,91,6077000100,2600
3164,1344,526,0,89,0,1108,0,97,6077000401,796
4988,1533,475,54,261,0,2386,9,270,6077001300,857
4432,856,54,0,48,16,3426,0,32,6077001700,2126
5819,188,704,0,474,0,4395,32,26,6077002100,1918
12565,1454,2097,7,2898,0,5432,79,598,6077003801,2493
6916,1042,1327,37,847,46,3385,0,232,6077003802,1509
5979,1205,780,45,557,30,3228,0,134,6077003803,1473
1528,397,0,0,15,0,1116,0,0,6077003900,194
12168,2891,1299,0,4043,149,3059,0,727,6077004002,1040
6363,3815,2,18,149,0,2289,0,90,6077004600,1256
11080,3768,441,140,2111,139,3910,15,556,6077005114,783
4763,1715,178,0,759,0,1934,0,177,6077005123,473
8262,1360,65,41,334,0,6359,61,42,6073020018,1892
6369,1532,60,0,518,0,4234,0,25,6073020108,1652
2296,1934,19,0,68,0,249,0,26,6073020401,172
4979,2376,202,1,526,38,1569,0,267,6073020404,495
8050,4300,104,0,1019,1,2203,0,423,6073020709,598
6179,3884,239,0,378,0,1452,0,226,6073007800,776
2944,2434,15,0,131,0,237,0,127,6073008002,290
3759,1022,129,0,1813,59,505,0,231,6073008349,133
5059,1484,256,31,2264,21,736,30,237,6073008353,349
5218,1187,165,14,3237,13,440,0,162,6073008357,919
6859,4112,23,0,295,0,2146,0,283,6073008503,1339
4596,2515,114,0,619,0,1274,0,74,6073008506,473
5440,2356,262,1,904,0,1711,0,206,6073008901,888
5142,3273,196,0,359,0,1046,0,268,6073009107,1366
809,430,140,0,45,0,173,0,21,6073009901,0
5077,420,69,0,526,0,3900,11,151,6073010109,532
3511,1361,112,6,145,0,1852,0,35,6073020017,378
4529,3531,45,26,176,0,579,6,166,6073011100,602
2128,187,21,10,217,119,1517,0,57,6073012101,883
4752,2452,160,10,318,0,1520,0,292,6073020025,790
7973,4110,168,14,861,72,2657,0,91,6073020022,1378
4245,2179,120,12,138,0,1548,18,230,6073020023,265
4044,1942,187,0,200,0,1601,7,107,6073020105,798
4891,1668,78,0,423,20,2472,148,82,6073020210,1132
1758,1113,34,0,191,0,382,0,38,6073020710,183
3825,3038,83,0,126,64,442,0,72,6097153403,279
10481,5674,168,80,458,0,3886,0,215,6097153801,1230
2456,2060,0,6,13,0,365,8,4,6097150100,134
7481,4925,3,3,288,0,1995,149,118,6097150603,702
5021,4059,36,9,187,0,595,0,135,6097150702,294
4209,3341,25,0,88,0,691,0,64,6097151000,478
4874,2085,37,0,287,37,2113,56,259,6097151301,864
3501,2590,106,95,76,0,440,0,194,6097152203,777
7024,4229,14,0,402,14,2146,0,219,6097153005,878
8621,2746,323,0,594,86,4522,0,350,6097153200,1876
4591,3606,24,0,63,0,695,0,203,6097153502,656
3950,3212,18,0,78,11,349,0,282,6097153704,592
5144,3398,32,0,105,0,1265,0,344,6097153901,412
3247,2839,26,0,36,0,254,0,92,6097150902,319
3599,2278,69,0,238,0,872,0,142,6097151306,406
4048,3398,0,22,38,0,545,0,45,6097153903,502
3845,2543,26,0,27,6,1084,82,77,6097154100,565
6874,2381,257,42,143,107,3628,17,299,6097153002,1131
7955,1212,559,0,3051,0,2916,0,217,6037543602,1073
7829,986,344,17,389,0,6023,38,32,6037551202,1671
5016,197,1166,13,75,67,3485,0,13,6037553602,1084
4668,39,282,0,56,0,4279,0,12,6037553702,1766
5502,286,204,0,1959,0,3008,0,45,6037408133,1605
3948,336,133,0,1839,0,1627,0,13,6037408135,669
6064,241,61,0,3957,0,1804,0,1,6037408211,1258
4396,564,43,0,640,0,3149,0,0,6037408303,614
3217,376,84,0,1478,0,1216,0,63,6037408623,521
4188,599,0,20,2103,0,1426,13,27,6037408625,363
3305,235,168,108,1901,0,830,0,63,6037408704,919
4849,374,216,26,498,0,3703,24,8,6037430102,477
5641,1558,118,0,3126,0,692,7,140,6037430701,628
6425,944,61,122,4489,0,785,0,24,6037431700,730
5853,270,0,0,1145,0,4438,0,0,6037432700,1934
3287,122,0,25,394,0,2746,0,0,6037433902,565
4578,3011,416,8,195,0,804,10,134,6037461200,778
4284,123,7,12,724,0,3418,0,0,6037434001,441
4600,1665,1619,7,329,0,781,34,165,6037460301,182
2989,1916,209,16,409,0,407,0,32,6037460800,430
5306,1600,121,0,1011,0,2354,40,180,6037462700,1039
3435,1381,260,8,963,8,735,0,80,6037463200,355
4064,2465,86,0,661,0,501,57,294,6037463800,167
5722,2561,601,0,1393,0,901,21,245,6037464000,599
3800,2455,48,7,561,21,360,144,204,6037430501,165
5861,2429,152,19,525,0,2457,103,176,6041104102,783
5842,4072,115,0,399,0,814,99,343,6041104200,676
5920,4158,198,0,514,73,435,111,431,6041106002,326
2309,2104,46,0,29,0,106,0,24,6041118100,165
5497,4055,111,0,323,0,682,106,220,6041121100,351
1823,1584,9,0,45,0,66,0,119,6041132100,281
2648,2316,0,0,167,0,85,0,80,6041101100,123
2986,2067,0,0,176,0,715,0,28,6041101200,198
1224,662,12,282,0,7,196,11,54,6015000203,491
3666,2374,4,171,88,0,813,0,216,6015000202,734
3418,1986,131,368,181,0,448,0,304,6015000102,1417
6157,1345,102,87,195,28,4353,30,17,6011000300,1209
5410,1696,0,23,20,0,3587,0,84,6011000100,980
5128,2251,67,29,46,12,2623,0,100,6011000200,1066
2205,1319,72,20,12,0,743,0,39,6011000400,317
2564,1061,36,0,51,13,1349,0,54,6011000500,439
1550,1110,20,39,0,0,345,0,36,6021010502,341
8460,3910,2,18,150,0,4321,0,59,6021010100,2382
4787,2865,0,32,26,12,1843,0,9,6021010200,733
7327,4022,145,74,596,0,2249,0,241,6021010400,1515
2089,1568,54,251,6,0,184,0,26,6021010300,397
3684,1032,2,0,42,5,2562,0,41,6021010501,956
3653,2616,88,6,93,0,634,23,193,6007000603,1330
3568,2550,104,26,40,0,698,0,150,6007000202,827
4784,3204,233,96,38,0,1048,10,155,6007000300,1857
4230,2391,61,57,406,22,1090,0,203,6007000502,2621
3969,2474,383,16,56,0,528,0,512,6007002800,1817
3016,1572,50,59,931,16,129,29,230,6007002900,747
4359,2918,12,90,596,24,455,0,264,6007003100,528
4159,3248,13,8,127,0,539,0,224,6007000102,956
4205,2839,124,25,217,36,818,0,146,6007001100,2088
5636,4581,25,0,0,0,741,0,289,6007001500,731
6491,5322,0,55,67,33,462,0,552,6007001702,1188
5533,4764,33,79,27,0,342,0,288,6007001800,1452
5051,4323,16,0,18,0,435,0,259,6007002300,691
5450,4752,3,21,152,0,436,0,86,6007002200,969
4482,3825,7,0,137,0,449,0,64,6007000700,479
5647,4731,31,0,55,0,622,0,208,6007000800,1373
3300,2597,0,0,49,0,486,0,168,6007001200,1048
5755,864,2,9,3484,23,1255,0,118,6059088107,1306
5632,1230,57,7,1849,0,2397,0,92,6059088401,642
6948,959,41,0,2116,18,3712,9,93,6059088501,1601
2388,1962,25,0,166,0,183,0,52,6059099217,103
5603,4003,143,0,360,0,811,0,286,6059099220,576
3608,1652,11,0,1570,0,294,0,81,6059099224,240
3583,1758,0,0,1242,12,490,22,59,6059099234,422
4713,2954,103,15,354,45,1088,0,154,6059099235,695
4109,2853,67,0,434,0,457,10,288,6059099243,309
3213,2461,24,38,103,0,425,0,162,6059099311,231
4609,1970,140,0,687,0,1667,0,145,6059099410,1184
4509,3376,92,0,641,36,203,14,147,6059099510,764
7780,1920,74,28,4189,0,1438,0,131,6059099702,1898
5404,643,63,40,2480,15,2093,0,70,6059099802,2076
6016,1906,329,0,2186,0,1487,0,108,6059110111,504
2124,1070,36,19,444,0,427,0,128,6059110113,105
6611,1105,5,0,4664,38,629,38,132,6059110605,554
4422,2059,55,59,393,0,1707,19,130,6059052416,378
17985,7400,33,57,8341,0,1153,53,948,6059052426,1728
3920,3355,9,0,118,0,326,22,90,6059062632,256
3268,2590,98,0,55,35,434,27,29,6059042206,165
4235,1558,0,0,1748,20,676,13,220,6059052522,284
1711,1507,0,0,113,0,57,0,34,6059063009,132
7990,3619,522,21,2251,173,1328,0,76,6059063907,769
7710,551,0,9,89,27,6983,12,39,6059074601,1600
7270,1097,0,28,5043,0,924,32,146,6059001707,855
6389,2924,125,0,1621,0,1195,20,504,6059011707,582
2219,941,94,0,392,0,771,0,21,6059011722,317
3332,2261,10,0,761,0,246,0,54,6059021916,109
1042,722,2,3,87,0,171,0,57,6059032041,87
7002,4295,15,0,225,0,2271,0,196,6059042313,908
7838,2424,306,43,1025,62,3784,8,186,6059011711,1415
4645,2815,0,0,497,0,1129,0,204,6059021918,310
3521,2425,57,0,434,0,542,0,63,6059032031,164
6938,4930,10,3,209,0,1506,0,280,6059063102,966
5361,2018,130,0,2235,0,775,0,203,6059052505,653
2943,2522,81,12,141,0,178,0,9,6059062605,309
3719,2362,110,0,209,0,947,21,70,6059063601,330
2294,1373,11,21,116,2,671,0,100,6101050301,427
6754,2762,124,67,804,0,2683,0,314,6101050101,2219
6474,2081,67,58,2026,28,1894,16,304,6101050501,922
6069,3061,3,55,1484,92,1294,0,80,6101050601,964
3289,1485,94,30,244,18,1204,76,138,6101050201,1923
6028,1406,183,39,508,69,3804,0,19,6101050302,1629
2598,1540,103,4,142,0,768,0,41,6101051000,790
2572,1893,17,15,125,5,469,0,48,6101051100,344
4891,2595,52,9,123,30,1902,0,180,6101050102,1413
6767,2310,150,61,2743,8,1109,58,328,6101050503,1089
1483,890,15,10,3,0,545,0,20,6101050900,271
4779,3119,150,23,915,0,314,37,221,6101050603,437
4339,2423,113,29,666,2,892,0,214,6101050604,426
3681,1622,83,44,63,7,1729,0,133,6101050202,1807
3348,2580,0,105,1,9,480,0,173,6101050800,235
7377,3079,158,0,1509,56,1647,24,904,6101050504,905
1593,1173,42,0,204,0,88,18,68,6001423902,123
4195,1603,95,7,1305,75,886,17,207,6001427200,889
3152,1293,268,22,940,8,378,44,199,6001428500,404
2167,1242,19,0,424,11,365,0,106,6001430400,101
3587,1222,469,0,433,40,1190,51,182,6001431100,493
4723,1181,198,63,1920,5,1356,0,0,6001433500,294
7440,689,2110,6,1102,111,3146,0,276,6001433900,2597
2327,34,788,8,80,0,1282,0,135,6001409100,617
5022,216,858,0,413,14,3454,0,67,6001409400,2075
3851,79,856,21,73,91,2661,0,70,6001410300,1030
4864,1532,94,49,1998,63,722,262,144,6001420300,556
3004,896,634,0,181,109,949,0,235,6001423200,835
3764,1565,1136,29,299,0,472,0,263,6001423300,623
2804,2011,117,13,275,0,201,26,161,6001423601,470
5190,2669,448,2,707,0,909,0,455,6001427700,474
10096,5312,207,18,3415,66,821,0,257,6001450602,317
3046,646,68,7,1172,84,1015,0,54,6001443001,219
6100,2466,167,0,2604,22,578,0,263,6001450200,301
5052,2486,162,0,1517,0,318,19,550,6001427800,341
7118,2181,237,0,3288,51,801,0,560,6001428301,262
3661,993,243,3,1459,7,797,33,126,6001433000,640
7625,1383,1617,47,2611,22,1667,0,278,6001433200,1505
4529,1114,856,10,1116,8,1145,41,239,6001435200,322
2665,1358,535,0,258,0,382,8,124,6001436402,163
3755,480,261,0,1053,171,1652,13,125,6001437600,483
7579,1359,227,10,3171,265,2406,0,141,6001440301,1064
4288,1158,1964,0,324,41,553,10,238,6001407700,487
3164,1049,15,12,1137,27,705,13,206,6001420400,927
6643,3468,387,0,1589,24,686,0,489,6001428200,760
4327,1979,52,23,1182,10,784,0,297,6001441100,355
8069,1630,384,0,4042,438,1393,23,159,6001441602,385
3843,2551,229,21,373,0,420,0,249,6001400400,186
4751,3289,56,4,429,34,649,0,290,6001451501,661
5252,1892,1688,43,546,0,712,25,346,6001403600,199
3269,2036,351,5,368,0,291,12,206,6001405000,520
4240,990,322,106,2155,0,394,0,273,6001403300,1236
3855,1476,1218,30,617,0,383,0,131,6001401300,1102
7054,359,2397,6,241,289,3724,0,38,6001408800,2707
2969,168,115,32,2424,96,88,22,24,6001403000,1304
6573,4772,43,0,238,0,1297,0,223,6073013605,918
5973,3867,187,0,657,0,1056,0,206,6073009704,525
6928,1358,345,11,2998,15,1816,10,375,6073008800,1717
4939,3116,103,5,351,16,1131,9,208,6073009106,317
3048,2365,4,7,271,10,269,33,89,6073008311,243
6232,3704,269,0,360,0,1333,96,470,6073013606,1175
3250,864,546,12,57,0,1666,7,98,6073013802,837
4019,1531,548,0,409,17,1247,0,267,6073013905,309
6455,1861,910,6,653,0,2886,17,122,6073014200,621
4315,1104,245,0,143,0,2800,0,23,6073014300,748
3711,2524,151,0,31,0,782,24,199,6073015200,179
3152,1904,204,0,146,8,609,0,281,6073015301,947
5434,3970,35,0,107,0,1201,0,121,6073015405,664
2312,1696,19,3,44,0,475,11,64,6073015602,145
3873,1990,417,0,56,0,1293,0,117,6073015704,954
6483,4112,225,24,289,54,1487,0,292,6073016100,647
5290,2507,513,26,167,13,1687,13,364,6073016301,1866
7123,5301,151,44,339,0,1074,0,214,6073016605,676
3948,2680,21,7,209,0,811,7,213,6073016606,281
6972,5042,150,0,259,25,1223,0,273,6073016607,468
6037,4388,27,9,190,45,1091,0,287,6073016612,323
7236,6018,48,0,60,27,777,0,306,6073016802,816
4691,3250,67,0,64,154,1051,0,105,6073016806,1045
23397,12307,423,138,7603,0,1715,0,1211,6073017030,1359
4125,2305,15,0,769,0,762,0,274,6073017031,545
2361,236,1638,0,172,8,220,11,76,6037234200,359
4343,3527,33,0,194,0,433,0,156,6037143901,216
4022,650,36,5,471,29,2642,28,161,6037183220,692
6677,2385,249,0,1474,0,2454,0,115,6037185100,1049
2970,252,19,0,175,0,2524,0,0,6037185320,881
5024,1562,85,0,1397,0,1691,42,247,6037186100,400
3555,2975,36,0,208,0,293,0,43,6037261101,226
7379,24,1100,257,43,0,5955,0,0,6037243000,1860
2844,2213,21,0,365,0,138,0,107,6037262100,151
3188,2699,0,41,157,0,121,0,170,6037262303,122
3429,2515,54,0,367,0,144,11,338,6037262601,105
5882,1086,53,0,810,0,3644,94,195,6037405800,78
92,12,0,0,0,0,80,0,0,6037575500,2123
8226,296,138,0,1804,0,5966,0,22,6037404801,715
3089,64,16,0,456,0,2553,0,0,6037405002,493
2289,431,25,0,147,0,1617,5,64,6037406402,38
4661,521,70,0,1276,47,2665,0,82,6037406800,641
6424,92,29,0,564,0,5732,0,7,6037407001,805
4988,348,76,0,2312,0,2096,0,156,6037480804,896
2390,631,102,5,769,0,781,0,102,6037463101,267
4740,634,90,0,2754,0,1168,0,94,6037480102,724
4593,856,177,51,2011,0,1370,0,128,6037480302,938
4259,537,30,0,2608,0,1063,0,21,6037481001,714
4640,250,55,0,3528,0,737,0,70,6037481500,871
3825,374,30,0,2117,0,1280,6,18,6037481604,576
4341,131,10,0,3628,82,440,0,50,6037481711,1501
5954,937,32,0,2121,0,2832,0,32,6037481901,720
4641,235,11,0,3198,142,1027,0,28,6037482101,904
4006,119,1,0,3081,0,760,0,45,6037482201,1223
4897,80,31,26,3667,12,1081,0,0,6037482202,1058
4399,42,20,100,2670,0,1443,0,124,6037482503,957
4163,155,26,0,1542,0,2195,0,245,6037482701,579
4745,90,0,0,0,0,4655,0,0,6037500402,1200
5053,832,29,13,48,8,4122,0,1,6037502100,934
6716,953,0,26,309,0,5177,18,233,6037503302,674
6052,2991,172,0,260,0,2584,0,45,6037101210,2437
3108,517,83,0,118,0,2329,4,57,6037106010,659
5807,1000,47,0,44,0,4666,9,41,6037106020,1007
4482,1120,229,31,404,0,2669,0,29,6037106111,599
6410,381,283,0,259,0,5487,0,0,6037106114,1388
3016,1610,175,0,285,0,821,0,125,6037106642,240
3161,37,26,0,21,0,3077,0,0,6037203710,1137
3004,97,84,6,697,0,2028,78,14,6037209510,1436
1817,245,68,7,239,8,1235,0,15,6037212304,818
3929,515,1157,2,319,0,1859,12,65,6037218220,975
3876,218,723,0,90,0,2756,64,25,6037222200,1443
5476,0,434,0,0,0,5042,0,0,6037228100,1976
7322,175,2791,0,108,0,4094,119,35,6037232400,1906
2453,87,1105,0,6,8,1220,0,27,6037241300,903
4952,332,8,0,2414,0,2198,0,0,6037481103,911
4140,1861,4,23,582,0,1619,30,21,6037500100,133
4299,1105,146,28,252,0,2527,0,241,6037920038,850
3498,965,60,11,1704,0,614,41,103,6037480002,155
5292,350,847,0,404,0,3359,0,332,6037602404,800
7161,359,5,0,72,0,6702,0,23,6037500700,67
2818,1546,66,0,1010,0,58,0,138,6037670405,2232
7377,608,4029,2,237,0,2362,16,123,6037601302,1388
3167,1301,81,47,376,0,1244,0,118,6037702803,523
4522,1034,1863,7,166,0,1379,0,73,6037900806,2147
3192,1987,170,0,436,39,446,23,91,6037271500,222
2424,461,610,0,178,0,1133,0,42,6037277200,667
4814,329,37,108,309,0,3953,0,78,6037201401,1732
3484,156,112,0,669,0,2547,0,0,6037212202,1234
8499,1047,73,0,3176,42,4125,0,36,6037432500,749
3479,253,28,14,623,0,2561,0,0,6037433802,600
3795,1764,82,0,678,0,1134,0,137,6037462900,237
2190,198,21,0,260,0,1692,10,9,6037404302,247
4502,165,14,26,663,44,3458,0,132,6037433402,1490
6416,567,1990,0,348,0,3419,0,92,6037461000,1252
4477,1537,213,0,1861,0,778,0,88,6037480702,182
6711,216,25,0,254,0,6216,0,0,6037530302,1400
2687,0,485,0,0,0,2202,0,0,6037540400,1015
6045,25,819,17,2,0,5070,0,112,6037541801,2256
7539,67,1711,0,0,0,5659,37,65,6037542200,2672
3217,18,1064,0,18,0,2117,0,0,6037542402,712
6373,87,1367,2,0,0,4873,20,24,6037542700,1470
3356,685,995,0,82,0,1525,0,69,6037543305,423
6870,439,383,0,3620,217,1954,0,257,6037543501,788
3670,392,219,8,1324,28,1526,0,173,6037543903,262
2024,655,283,46,206,2,805,0,27,6037550000,1066
4549,1091,279,0,719,0,2284,60,116,6037134720,859
6063,3640,285,0,644,0,1347,0,147,6037137201,900
4823,3144,553,28,272,0,539,0,287,6037137502,402
2073,1890,19,27,33,0,64,0,40,6037137504,96
6230,5452,191,0,232,0,249,0,106,6037139702,226
5241,3660,505,0,301,43,468,0,264,6037143500,856
4669,1154,108,0,1498,0,1855,30,24,6037181400,836
3247,2490,198,0,163,0,223,0,173,6037189400,314
3729,1092,124,0,364,0,2124,0,25,6037185202,663
3955,1312,11,182,957,0,1307,0,186,6037188300,325
5117,3546,117,0,664,0,597,81,112,6037189902,1035
6354,4031,91,14,407,98,1425,0,288,6071008301,548
3195,2487,184,46,75,0,324,24,55,6071008302,158
6439,1602,158,98,2946,0,1403,22,210,6071000105,518
2942,1299,86,0,547,0,1002,0,8,6071000107,122
7520,2243,254,5,209,0,4760,0,49,6065041813,1048
5090,772,256,20,540,20,3331,0,151,6071000201,1755
9458,1364,710,0,897,0,6172,0,315,6071002601,1312
3232,274,339,21,70,0,2509,0,19,6071003000,1958
9129,3765,501,38,329,0,4362,0,134,6065042008,1116
5739,2527,516,78,477,26,1866,20,229,6065042206,1158
2626,1710,31,0,180,1,576,0,128,6065042208,145
4548,863,491,0,325,53,2728,12,76,6065042406,925
3296,849,185,0,96,1,2073,0,92,6065042407,752
9200,1016,2922,12,1212,95,3748,0,195,6065042506,1803
4074,227,958,0,100,0,2774,15,0,6065042515,1460
5035,2527,122,5,258,2,1998,13,110,6065042708,407
10407,685,1103,0,43,0,8496,15,65,6065042904,3793
7129,1635,448,45,133,0,4540,151,177,6065043003,2177
2845,790,374,43,6,0,1595,0,37,6065043308,1195
4256,1281,97,0,96,0,2739,0,43,6065043312,1187
4179,1663,343,0,0,0,2073,0,100,6065043405,1560
6260,2996,246,0,150,0,2669,0,199,6065043506,1312
3999,2157,181,75,73,0,1258,21,234,6065043701,1017
2059,1010,85,16,47,0,839,12,50,6065042401,154
3474,759,261,11,335,94,2002,0,12,6065042408,693
8224,4303,236,17,701,49,1962,265,691,6065043206,1413
6471,2571,1017,0,375,72,2393,3,40,6065043307,1779
2798,1003,256,47,57,119,1211,0,105,6065043309,1140
2572,1200,36,0,112,0,1206,9,9,6065043311,784
2748,1460,149,79,0,0,1019,0,41,6065043404,814
5800,2963,372,0,41,27,2319,28,50,6065030700,851
3066,45,25,0,7,0,2968,21,0,6065031300,911
5139,741,222,13,971,9,3073,0,110,6019003201,1458
3481,1898,9,0,819,0,570,11,174,6019005504,181
3233,2333,59,12,261,0,485,0,83,6019004506,242
4280,1893,195,0,37,0,2048,44,63,6019005000,963
4043,2361,267,0,425,0,835,0,155,6019005514,138
2808,2126,32,331,13,2,205,16,83,6019006402,288
4669,448,2,2,0,0,4099,0,118,6019007002,1619
5511,1093,33,13,356,0,3908,0,108,6019007004,856
7780,529,21,27,199,0,6977,0,27,6019007100,4290
5217,3288,189,79,427,0,1134,0,100,6019005703,548
5942,2375,75,0,1127,0,2170,0,195,6019005904,497
7855,3745,98,30,506,0,3147,0,329,6019006300,812
6635,393,0,0,0,0,6242,0,0,6019008200,2477
7336,95,295,0,29,0,6894,0,23,6019008302,3489
1165,313,11,0,0,0,841,0,0,6019008402,437
7232,2225,707,8,310,0,3851,0,131,6019005100,3952
6114,4000,3,113,55,0,1773,0,170,6019006403,671
