Total population,White alone,Black alone,American Indian alone,Asian alone,Hawaiian alone,Hispanic,Other alone,Two or more,Census Tract,Poverty
6918,1563,2,0,4976,0,242,0,135,6085508101,247
4863,1951,154,0,1545,0,905,0,308,6085509202,611
3517,1329,12,0,773,0,1262,19,122,6085509304,250
3841,1269,154,0,1802,11,450,10,145,6085509401,349
5535,2971,53,0,1633,0,582,0,296,6085509801,280
7005,4123,78,0,886,31,1674,2,211,6085512307,441
8414,524,165,8,2815,38,4622,28,214,6085503204,1497
4400,356,65,0,2230,0,1671,6,72,6085503210,474
4855,68,27,0,683,678,3394,0,5,6085503401,495
2467,36,2,0,759,0,1663,0,7,6085503507,346
5155,1463,338,41,1261,121,1580,7,344,6085512019,525
7751,1841,99,0,2519,0,2651,430,211,6085512020,1197
5045,2014,368,0,1087,0,1245,11,320,6085512024,466
4966,2022,58,31,389,0,2320,14,132,6085512402,471
4205,3839,21,119,26,0,187,0,13,6089010400,1142
3126,2770,30,25,10,10,143,37,101,6089011100,447
5937,4911,2,49,0,52,572,0,351,6089012200,2157
4970,4422,33,140,18,0,273,0,84,6089012601,958
2731,2193,0,206,8,0,288,0,36,6089012702,514
5607,4306,58,157,139,0,792,0,155,6089010500,1428
3833,2910,134,87,210,0,339,0,153,6089011600,1074
4381,3874,16,54,18,0,241,0,178,6089011900,628
2649,1621,20,127,0,0,862,0,19,6089012301,856
5361,4474,0,95,22,0,591,0,179,6089012302,512
4236,2789,199,231,390,0,516,0,111,6089010900,1430
3915,3475,49,56,28,0,220,9,78,6089012303,442
3810,3385,4,61,42,3,173,0,142,6089012400,754
4873,3270,273,125,66,0,661,0,478,6089011300,1275
1623,1315,7,55,53,0,92,0,101,6089012500,492
4671,3304,22,316,54,22,687,0,266,6089012000,1502
4929,4220,30,167,89,0,387,0,36,6089012701,1461
3618,3092,9,40,69,0,214,8,186,6089010702,861
2464,2111,168,0,28,0,89,0,68,6089010200,907
5609,5144,1,0,36,0,337,0,91,6089011500,826
2150,806,359,0,107,14,716,0,148,6095250501,398
5571,1096,1211,2,581,0,2417,10,254,6095250601,1148
2446,364,654,0,539,2,776,0,111,6095251802,810
6379,1836,1569,44,986,197,1411,0,336,6095252705,756
8856,7371,0,0,834,0,565,0,86,6059062644,271
3115,2151,184,0,291,0,332,0,157,6095252108,362
3685,2129,207,0,384,0,846,0,119,6095253106,349
3703,2265,120,0,336,0,872,0,110,6059062640,627
867,780,0,0,21,0,66,0,0,6059063008,20
2709,2077,11,9,64,0,428,0,120,6059063103,292
5951,975,54,0,174,20,4621,0,107,6059063701,1951
3977,1632,39,66,682,85,1442,0,31,6059063903,449
4158,2825,75,0,314,32,661,0,251,6059063905,520
7666,1706,235,27,873,0,4623,0,202,6059074004,1502
5593,110,0,0,292,0,5191,0,0,6059074502,1970
7867,502,26,0,473,0,6833,0,33,6059075002,4094
6547,241,0,68,210,0,6028,0,0,6059075201,1640
5064,668,53,0,226,39,4041,0,37,6059075302,867
2764,1070,110,26,806,0,530,21,201,6067002000,613
1551,1157,48,5,113,0,198,0,30,6067002500,42
2821,893,145,16,184,94,1406,9,74,6067003600,870
6172,2616,612,0,1561,0,1034,43,306,6067004004,593
3787,1532,237,0,964,0,855,22,177,6067004008,382
