Tract,Disadvantaged Communities,Low-Income Communities,County name
6001427900,No,No,San Bernardino
6001428000,No,No,Stanislaus 
6001428100,No,No,Los Angeles
6001428200,No,No,Los Angeles
6001428301,No,No,Los Angeles
6001428302,No,No,Los Angeles
6001428400,No,No,Los Angeles
6001428500,No,No,Fresno 
6001428600,No,No,Los Angeles
6001428700,No,Yes,Los Angeles
6001430101,No,No,Los Angeles
6001430102,No,No,Los Angeles
6001430200,No,No,Los Angeles
6001430300,No,No,Los Angeles
6001430400,No,No,Riverside 
6001430500,No,Yes,Los Angeles
6001430600,No,No,Los Angeles
6001430700,No,No,Fresno 
6001430800,No,No,Los Angeles
6001430900,No,Yes,San Bernardino
6001431000,No,Yes,Los Angeles
6001431100,No,Yes,San Joaquin
6001431200,No,Yes,Los Angeles
6001432100,No,No,Riverside 
6001432200,No,No,Los Angeles
6001432300,No,No,San Bernardino
6001432400,Yes,Yes,Los Angeles
6001432501,Yes,Yes,Merced 
6001432502,No,Yes,Stanislaus 
6001432600,No,Yes,San Joaquin
6001432700,No,No,Los Angeles
6001432800,No,No,Los Angeles
6001433000,No,No,Los Angeles
6001433102,No,No,Los Angeles
6001433103,No,Yes,Los Angeles
6001433104,No,Yes,Los Angeles
6001433200,Yes,Yes,Riverside 
6001433300,No,Yes,Los Angeles
6001433400,No,No,Los Angeles
6001433500,No,No,Los Angeles
6001433600,No,Yes,Los Angeles
6001433700,No,Yes,Los Angeles
6001433800,No,Yes,Los Angeles
6001433900,No,Yes,Los Angeles
6001434000,No,Yes,Fresno 
6001435102,No,No,Stanislaus 
6001435103,No,No,Los Angeles
6001435104,No,Yes,Los Angeles
6001435200,No,No,San Joaquin
6001435300,No,No,Los Angeles
6001435400,No,Yes,Stanislaus 
6001435500,No,Yes,San Joaquin
6001435601,No,Yes,Fresno 
6001435602,No,Yes,Sacramento 
6001435700,No,No,San Bernardino
6001435800,No,Yes,Los Angeles
6001435900,No,No,Los Angeles
6001436000,No,No,Los Angeles
6001436100,No,No,Los Angeles
6001436200,No,Yes,San Bernardino
6001436300,No,Yes,Los Angeles
6001436401,No,No,Los Angeles
6001436402,No,No,Los Angeles
6001436500,No,Yes,Los Angeles
6001436601,No,Yes,Los Angeles
6001436602,No,Yes,Los Angeles
6001436700,No,No,Los Angeles
6001436800,No,Yes,Los Angeles
6001436900,No,Yes,San Bernardino
6001437000,No,No,Kings 
6001437101,Yes,No,Los Angeles
6001437102,No,Yes,Los Angeles
6001437200,Yes,No,San Bernardino
6001437300,No,Yes,Los Angeles
6001437400,No,Yes,Stanislaus 
6001437500,No,Yes,Stanislaus 
6001437600,No,Yes,San Bernardino
6001437701,No,Yes,Los Angeles
6001437702,No,Yes,Los Angeles
6001437800,No,No,Los Angeles
6001437900,No,Yes,San Joaquin
6001438000,No,No,Los Angeles
6001438100,No,No,Los Angeles
6001438201,No,Yes,Los Angeles
6001438203,Yes,Yes,Los Angeles
6001438204,No,Yes,Alameda 
6001438300,No,Yes,Los Angeles
6001438400,No,No,Los Angeles
6001440100,No,No,Los Angeles
6001440200,No,Yes,Los Angeles
6001440301,Yes,No,Los Angeles
6001440304,No,No,Los Angeles
6001440305,No,No,Los Angeles
6001440306,No,No,Los Angeles
6001440307,No,Yes,Fresno 
6001440308,No,No,Stanislaus 
6001440331,No,Yes,Los Angeles
6001440332,No,No,Los Angeles
6001440333,No,No,Los Angeles
6001440334,No,No,Los Angeles
6001440335,No,No,Los Angeles
6001440336,No,No,San Bernardino
6001441100,No,No,Los Angeles
6001441200,No,No,Los Angeles
6001441301,No,No,Stanislaus 
6001441302,No,No,Los Angeles
6001441401,No,No,Los Angeles
6001441402,No,No,Los Angeles
6001441501,No,No,San Bernardino
6001441503,No,No,Los Angeles
6001441521,No,No,Los Angeles
6001441522,No,No,San Bernardino
6001441523,No,No,Los Angeles
6001441524,No,No,Los Angeles
6001441601,No,No,Los Angeles
6001441602,No,No,Fresno 
6001441700,No,No,Los Angeles
6001441800,No,No,Los Angeles
6001441921,No,No,Los Angeles
6001441923,No,Yes,Los Angeles
6001441924,No,No,Los Angeles
6001441925,No,No,Los Angeles
6001441926,No,No,Los Angeles
6001441927,No,No,Los Angeles
6001442000,No,No,Los Angeles
6001442100,No,No,Fresno 
6001442200,No,No,Los Angeles
6001442301,No,No,Alameda 
6001442302,No,No,Riverside 
6001442400,No,No,Riverside 
6001442500,No,No,Los Angeles
6001442601,No,No,Fresno 
6001442602,No,No,Los Angeles
6001442700,No,No,Kern 
6001442800,No,No,Los Angeles
6001442900,No,No,Los Angeles
6001443001,No,No,Los Angeles
6001443002,No,No,Riverside 
6001443102,No,No,Los Angeles
6001443103,No,No,Los Angeles
6001443104,No,No,Alameda 
6001443105,No,No,Kern 
6001443200,No,No,Los Angeles
6001443301,No,No,Los Angeles
6001443321,No,No,San Diego
6001443322,No,No,Kern 
6001444100,No,No,Kern 
6001444200,No,No,Los Angeles
6001444301,No,No,Riverside 
6001444302,No,Yes,San Joaquin
6001444400,No,No,Los Angeles
6001444500,No,No,Los Angeles
6001444601,Yes,No,Los Angeles
6001444602,No,No,Fresno 
6001450101,No,No,Riverside 
6001450102,No,No,Los Angeles
6001450200,No,No,Los Angeles
6001450300,No,No,Los Angeles
6001450400,No,No,Los Angeles
6001450501,No,No,Merced 
6001450502,No,No,Los Angeles
6001450601,No,No,Los Angeles
6001450602,No,No,Los Angeles
6001450603,No,No,Los Angeles
6001450604,No,No,Los Angeles
6001450605,No,No,San Bernardino
6001450606,No,No,Los Angeles
6001450607,No,No,Los Angeles
6001450701,No,No,Ventura 
6001450741,No,No,Los Angeles
6001450742,No,No,Los Angeles
6001450743,No,No,Los Angeles
6001450744,No,No,Los Angeles
6001450745,No,No,Los Angeles
6001450746,No,No,San Diego
6001450750,No,No,Los Angeles
6001450751,No,No,Los Angeles
6001450752,No,No,Los Angeles
6001451101,No,No,Los Angeles
6001451102,No,No,Los Angeles
6001451201,No,No,Los Angeles
6001451202,No,No,Los Angeles
6001451300,No,No,Los Angeles
6001451401,No,No,San Bernardino
6001451403,No,No,Los Angeles
6001451404,No,Yes,Los Angeles
6001451501,No,No,Fresno 
6001451503,No,No,Los Angeles
6001451504,No,No,Los Angeles
6001451505,No,No,Stanislaus 
6001451506,No,No,San Bernardino
6001451601,No,No,Los Angeles
6001451602,No,No,Los Angeles
6001451701,No,No,Los Angeles
6001451703,No,No,Los Angeles
6001451704,No,No,Los Angeles
6001981900,No,No,Los Angeles
6001982000,No,No,Los Angeles
6001983200,No,No,Imperial 
6001990000,No,No,Los Angeles
6003010000,No,Yes,Los Angeles
6005000101,No,Yes,Orange 
6005000102,No,Yes,San Joaquin
6005000200,No,No,Stanislaus 
6005000301,No,No,Los Angeles
6005000303,No,No,Los Angeles
6005000304,No,No,Los Angeles
6005000401,No,Yes,Los Angeles
6005000402,No,No,Los Angeles
6005000500,No,No,Los Angeles
6007000102,No,No,Los Angeles
6007000103,No,No,Los Angeles
6007000104,No,Yes,Los Angeles
6007000201,No,Yes,Kern 
6007000202,No,Yes,Stanislaus 
6007000300,No,Yes,Los Angeles
6007000401,No,No,Los Angeles
6007000402,No,No,Tulare 
6007000501,No,Yes,Ventura 
6007000502,No,Yes,Fresno 
6007000601,No,No,San Bernardino
6007000603,No,Yes,Los Angeles
6007000604,No,Yes,Los Angeles
6007000700,No,Yes,Stanislaus 
6007000800,No,No,Los Angeles
6007000901,No,No,Kern 
6007000903,No,Yes,Los Angeles
6007000904,No,No,Los Angeles
6007001000,No,Yes,Los Angeles
6007001100,No,Yes,San Bernardino
6007001200,No,Yes,San Bernardino
6007001300,Yes,Yes,San Bernardino
6007001400,No,No,Fresno 
6007001500,No,No,Los Angeles
6007001600,No,No,Los Angeles
6007001702,No,Yes,Madera 
6007001703,No,Yes,Fresno 
6007001704,No,Yes,Los Angeles
6007001800,No,Yes,Los Angeles
6007001900,No,No,Los Angeles
6007002000,No,No,Stanislaus 
6007002100,No,Yes,Los Angeles
6007002200,No,Yes,Los Angeles
6007002300,No,Yes,Los Angeles
6007002400,No,Yes,San Bernardino
6007002500,No,Yes,Los Angeles
6007002601,No,No,Los Angeles
6007002602,No,Yes,San Bernardino
6007002700,No,Yes,Los Angeles
6007002800,No,Yes,Sacramento 
6007002900,No,Yes,Los Angeles
6007003001,No,Yes,Stanislaus 
6007003002,No,Yes,Los Angeles
6007003100,No,Yes,Los Angeles
6007003200,No,Yes,Los Angeles
6007003300,No,Yes,Los Angeles
6007003400,No,Yes,Los Angeles
6007003501,No,No,Merced 
6007003502,No,Yes,Los Angeles
6007003600,No,Yes,Riverside 
6007003700,Yes,Yes,Los Angeles
6009000120,No,No,Los Angeles
6009000121,No,No,Los Angeles
6009000122,No,Yes,Los Angeles
6009000210,No,No,Contra Costa
6009000220,No,No,Los Angeles
6009000300,No,Yes,Los Angeles
6009000400,No,Yes,Los Angeles
6009000501,No,No,Tulare 
