Total Population,Poverty,Census Tract
6446,710,6109003100
3290,674,6109004200
8211,1743,6109005100
5290,1250,6077001000
3569,533,6077001200
4349,1312,6077001400
3364,1350,6077002000
3886,696,6077003106
4493,592,6077003108
3583,377,6077003203
3616,1112,6077003311
3088,1301,6077003700
2893,780,6077004701
6745,630,6077005122
3883,326,6077003209
2260,957,6077001600
4957,2145,6077001900
4224,1098,6077003205
6208,2092,6077003404
5916,603,6077004800
7762,832,6077004901
1880,373,6077005125
7246,1345,6077005302
4014,2600,6077000100
3101,796,6077000401
4690,857,6077001300
4362,2126,6077001700
5819,1918,6077002100
12523,2493,6077003801
6878,1509,6077003802
4371,1473,6077003803
1493,194,6077003900
12115,1040,6077004002
6343,1256,6077004600
11080,783,6077005114
4737,473,6077005123
8246,1892,6073020018
6244,1652,6073020108
2296,172,6073020401
4962,495,6073020404
8027,598,6073020709
6179,776,6073007800
2944,290,6073008002
3744,133,6073008349
5040,349,6073008353
5218,919,6073008357
6844,1339,6073008503
4596,473,6073008506
5440,888,6073008901
4774,1366,6073009107
19,0,6073009901
5058,532,6073010109
4529,378,6073011100
2109,602,6073012101
4726,883,6073020025
3487,790,6073020017
7927,1378,6073020022
4225,265,6073020023
4039,798,6073020105
4851,1132,6073020210
1758,183,6073020710
3702,279,6097153403
10450,1230,6097153801
2456,134,6097150100
7392,702,6097150603
5021,294,6097150702
4174,478,6097151000
4874,864,6097151301
3487,777,6097152203
6925,878,6097153005
8614,1876,6097153200
4579,656,6097153502
3907,592,6097153704
5144,412,6097153901
3239,319,6097150902
3599,406,6097151306
4048,502,6097153903
3828,565,6097154100
6753,1131,6097153002
7654,1073,6037543602
7670,1671,6037551202
5005,1084,6037553602
4668,1766,6037553702
5494,1605,6037408133
3943,669,6037408135
6024,1258,6037408211
4396,614,6037408303
3217,521,6037408623
4179,363,6037408625
3302,919,6037408704
4849,477,6037430102
5630,628,6037430701
6382,730,6037431700
5749,1934,6037432700
3287,565,6037433902
4284,778,6037434001
4600,441,6037460301
2989,182,6037460800
4571,430,6037461200
5297,1039,6037462700
3424,355,6037463200
4023,167,6037463800
5690,599,6037464000
3800,165,6037430501
5858,783,6041104102
5842,676,6041104200
5489,326,6041106002
2293,165,6041118100
5497,351,6041121100
1812,281,6041132100
2648,123,6041101100
2986,198,6041101200
1114,491,6015000203
3645,734,6015000202
3406,1417,6015000102
6038,1209,6011000300
5410,980,6011000100
5066,1066,6011000200
2196,317,6011000400
2564,439,6011000500
1550,341,6021010502
8391,2382,6021010100
4787,733,6021010200
7117,1515,6021010400
1971,397,6021010300
3632,956,6021010501
2521,1330,6007000603
3568,827,6007000202
4510,1857,6007000300
4230,2621,6007000502
3969,1817,6007002800
3008,747,6007002900
4304,528,6007003100
4126,956,6007000102
4080,2088,6007001100
5609,731,6007001500
6398,1188,6007001702
5299,1452,6007001800
5019,691,6007002300
4482,969,6007000700
5594,479,6007000800
3300,1373,6007001200
5423,1048,6007002200
5640,1306,6059088107
5632,642,6059088401
6882,1601,6059088501
2388,103,6059099217
5561,576,6059099220
3576,240,6059099224
3583,422,6059099234
4713,695,6059099235
4109,309,6059099243
3205,231,6059099311
4579,1184,6059099410
4509,764,6059099510
7763,1898,6059099702
5350,2076,6059099802
5991,504,6059110111
2105,105,6059110113
6572,554,6059110605
4394,378,6059052416
17916,1728,6059052426
3885,256,6059062632
3196,165,6059042206
4227,284,6059052522
1711,132,6059063009
7965,769,6059063907
7650,1600,6059074601
7196,855,6059001707
6389,582,6059011707
2219,317,6059011722
3320,109,6059021916
976,87,6059032041
7002,908,6059042313
7754,1415,6059011711
4525,310,6059021918
3510,164,6059032031
6870,966,6059063102
5361,653,6059052505
2943,309,6059062605
3696,330,6059063601
2273,427,6101050301
6612,2219,6101050101
6064,922,6101050601
3289,964,6101050201
6028,1923,6101050302
6425,1629,6101050501
2598,790,6101051000
2560,344,6101051100
4701,1413,6101050102
6767,1089,6101050503
1472,271,6101050900
4762,437,6101050603
3960,426,6101050604
3653,1807,6101050202
3303,235,6101050800
7377,905,6101050504
1567,123,6001423902
4112,889,6001427200
3080,404,6001428500
2167,101,6001430400
3587,493,6001431100
4723,294,6001433500
7440,2597,6001433900
2306,617,6001409100
4966,2075,6001409400
3851,1030,6001410300
4846,556,6001420300
2981,835,6001423200
3764,623,6001423300
2768,470,6001423601
5177,474,6001427700
10090,317,6001450602
3041,219,6001443001
6100,301,6001450200
5052,341,6001427800
7103,262,6001428301
3634,640,6001433000
7489,1505,6001433200
4435,322,6001435200
2657,163,6001436402
3552,483,6001437600
7567,1064,6001440301
4209,487,6001407700
3146,927,6001420400
6601,760,6001428200
4258,355,6001441100
8066,385,6001441602
4751,186,6001451501
5157,661,6001403600
3257,199,6001405000
3830,520,6001400400
4240,1236,6001403300
3563,1102,6001401300
6995,2707,6001408800
2969,1304,6001403000
6573,918,6073013605
5973,525,6073009704
6917,1717,6073008800
2081,317,6073009106
3037,243,6073008311
6196,1175,6073013606
3198,837,6073013802
4019,309,6073013905
6362,621,6073014200
4315,748,6073014300
3711,179,6073015200
3152,947,6073015301
5423,664,6073015405
2186,145,6073015602
3873,954,6073015704
6483,647,6073016100
5290,1866,6073016301
7123,676,6073016605
3936,281,6073016606
6972,468,6073016607
6037,323,6073016612
7203,816,6073016802
4691,1045,6073016806
23026,1359,6073017030
4125,545,6073017031
2361,359,6037234200
4328,216,6037143901
3906,692,6037183220
6592,1049,6037185100
2969,881,6037185320
5023,400,6037186100
3533,226,6037261101
7338,1860,6037243000
2844,151,6037262100
3188,122,6037262303
3429,105,6037262601
92,78,6037575500
8186,2123,6037404801
3089,715,6037405002
5852,493,6037405800
2289,38,6037406402
4527,641,6037406800
6377,805,6037407001
4976,896,6037480804
2385,267,6037463101
4648,724,6037480102
4593,938,6037480302
3950,714,6037481001
4573,871,6037481500
3825,576,6037481604
4151,1501,6037481711
5940,720,6037481901
4641,904,6037482101
3993,1223,6037482201
4891,1058,6037482202
4399,957,6037482503
4154,579,6037482701
4653,1200,6037500402
4802,934,6037502100
6707,674,6037503302
6042,2437,6037101210
3103,659,6037106010
5790,1007,6037106020
4482,599,6037106111
6300,1388,6037106114
3009,240,6037106642
3155,1137,6037203710
2935,1436,6037209510
1817,818,6037212304
3929,975,6037218220
3861,1443,6037222200
5476,1976,6037228100
7300,1906,6037232400
2401,903,6037241300
4909,911,6037481103
4119,133,6037500100
4207,850,6037920038
3426,155,6037480002
7078,800,6037500700
2795,67,6037670405
7366,2232,6037601302
5292,1388,6037602404
3066,523,6037702803
4474,2147,6037900806
3171,222,6037271500
2424,667,6037277200
4773,1732,6037201401
3463,1234,6037212202
8394,749,6037432500
3479,600,6037433802
3795,237,6037462900
2183,247,6037404302
4425,1490,6037433402
6347,1252,6037461000
4477,182,6037480702
6703,1400,6037530302
2687,1015,6037540400
6045,2256,6037541801
7528,2672,6037542200
3217,712,6037542402
6257,1470,6037542700
3288,423,6037543305
6797,788,6037543501
3642,262,6037543903
1597,1066,6037550000
4549,859,6037134720
6054,900,6037137201
4823,402,6037137502
2073,96,6037137504
6123,226,6037139702
5241,856,6037143500
4514,836,6037181400
3232,314,6037189400
3723,663,6037185202
3948,325,6037188300
5117,1035,6037189902
5919,548,6071008301
3195,158,6071008302
6263,518,6071000105
2942,122,6071000107
5077,1048,6071000201
9447,1755,6071002601
3232,1312,6071003000
7370,1958,6065041813
9085,1116,6065042008
5739,1158,6065042206
2626,145,6065042208
4526,925,6065042406
3278,752,6065042407
9183,1803,6065042506
3988,1460,6065042515
5035,407,6065042708
10100,3793,6065042904
7121,2177,6065043003
2845,1195,6065043308
4228,1187,6065043312
4179,1560,6065043405
6252,1312,6065043506
3999,1017,6065043701
2012,154,6065042401
3468,693,6065042408
8190,1413,6065043206
6261,1779,6065043307
2693,1140,6065043309
2511,784,6065043311
2748,814,6065043404
5655,851,6065030700
3066,911,6065031300
5139,1458,6019003201
3481,181,6019005504
3192,242,6019004506
4275,963,6019005000
3896,138,6019005514
2799,288,6019006402
4634,1619,6019007002
5433,856,6019007004
7768,4290,6019007100
5207,548,6019005703
5924,497,6019005904
7844,812,6019006300
6635,2477,6019008200
6328,3489,6019008302
1165,437,6019008402
7226,3952,6019005100
4073,671,6019005405
1169,980,6019005408
5177,558,6019005702
6037,1399,6019006403
4593,1632,6019007600
4940,1187,6019008000
8802,3301,6019008401
5001,551,6019004406
7454,2714,6019004701
3198,1343,6019005202
5250,2235,6019005304
4141,939,6059075805
6099,1084,6059075806
3935,521,6059075807
3354,248,6059075808
2887,212,6059075809
6454,1182,6059075812
2920,320,6059075814
9875,1629,6059076101
7797,747,6059076201
5437,898,6059076208
4819,1128,6059086304
4057,363,6059086305
7864,1817,6059086702
5187,830,6059086902
7667,1058,6059087002
4993,288,6059087401
4138,1472,6059087404
7356,2699,6059087504
4676,1107,6071010012
6101,1745,6071010015
7059,868,6071000109
4366,644,6065040402
7119,1753,6065040501
3074,1043,6065042514
2332,873,6065042404
3670,1569,6065042505
5520,1584,6065042510
3451,616,6065042518
1845,561,6065042519
5464,994,6065042720
5339,1783,6065043006
3908,749,6065043314
2986,594,6065043315
6780,1765,6065043807
3388,1662,6065044101
6545,3098,6065044200
2225,595,6065044806
1517,303,6065044807
5653,2336,6065044907
6321,1624,6065030400
5589,1587,6065045209
3739,1561,6065045502
2644,1272,6065045704
9382,4154,6065045705
3729,1454,6019005305
5709,418,6019005503
4897,994,6019005510
2958,90,6019005513
6308,1617,6019008100
2476,211,6019004602
5369,2306,6019005302
4156,2292,6019005403
5583,665,6019005507
1597,30,6019005605
6641,1476,6019006700
7859,1653,6019007201
5275,899,6019007202
5278,1694,6019007500
1663,181,6019005515
5908,1574,6019005301
3319,476,6019005407
5171,271,6019005512
4908,1235,6019005602
3601,682,6019005701
4159,2942,6019002502
3752,1277,6019002602
6113,1848,6019003900
4751,411,6019005802
3463,1929,6019006900
3385,1283,6019007400
5794,2124,6019007700
6558,3960,6019002000
5043,444,6019004302
5862,302,6059032044
3274,119,6059032045
5787,296,6059032046
5512,410,6059032048
8381,580,6059032053
5209,832,6059042108
3378,370,6059042305
5089,459,6075022803
2826,710,6075026404
2507,198,6075030600
3520,216,6075031000
1824,961,6075033201
4767,662,6075011100
1714,339,6075011700
7635,893,6013327000
2227,587,6013328000
6167,238,6013329000
8886,1128,6013332000
5873,861,6013340001
3835,80,6013343003
4896,264,6013345103
6611,344,6013345105
7506,376,6013345108
7446,408,6013346201
5088,164,6013348000
8569,316,6013355304
5425,233,6013356002
4861,274,6013359204
5739,1739,6013365002
6342,970,6013366002
5714,1456,6013367200
6960,2049,6013369001
4189,769,6013373000
6956,2557,6013377000
1254,90,6013385200
2532,129,6013388000
2749,220,6013391000
2655,233,6013392000
4893,1481,6013374000
6734,2183,6013379000
6608,1981,6013381000
7780,2522,6013382000
4747,609,6013383000
3852,356,6013384000
6921,1719,6013313101
3429,350,6013335000
6692,867,6067009317
4117,678,6067008913
3232,755,6067009005
2563,662,6067009007
1821,982,6067009110
6128,1471,6067009314
5640,454,6067009404
2666,795,6067009501
7221,2085,6067009606
8559,2643,6067009608
7950,322,6067009615
2777,429,6067003502
5841,1620,6067004201
2873,144,6037291300
2532,992,6037294120
3774,979,6037294520
3631,1351,6037294820
4405,2294,6037296220
2338,162,6037297300
8914,1119,6037300600
6193,320,6037300901
7165,1016,6037301100
5363,1815,6037302202
5666,1175,6037302302
3883,462,6037311300
0,0,6037320000
3602,963,6037400604
5194,537,6037401203
5653,670,6037401500
6049,999,6037401602
4207,992,6037101110
6587,1342,6037103200
3561,318,6037104103
3205,223,6037106603
3670,438,6037108102
4938,319,6037109601
4514,527,6037109700
3440,243,6037111201
4249,237,6037113232
6381,1011,6037113422
5322,897,6037115202
5376,696,6037901102
1421,218,6037530602
3122,1519,6037532605
5243,1342,6037535502
4897,2172,6037540600
6332,824,6037543802
5012,255,6037551900
3627,490,6037554001
4457,1196,6037602003
5310,1527,6037553902
3755,1943,6037910402
3781,307,6037920331
4673,473,6037138000
3060,393,6037181600
2968,474,6037187200
3423,612,6037191420
5553,346,6037195500
4384,1620,6111003201
9252,1886,6111003300
6673,2069,6111003700
7267,1972,6111003900
3723,343,6111005909
3497,211,6111005911
4208,705,6111007800
5134,585,6111008002
3062,359,6111008101
6613,192,6111005901
4219,456,6111005503
9948,929,6111005600
6484,347,6111005906
6466,459,6111006400
3089,176,6085509700
1905,74,6085509901
4288,173,6085510300
5369,389,6085502909
5495,570,6085512023
4480,164,6085504202
4250,239,6085505302
4000,265,6085506603
7832,513,6085508001
6526,269,6085510001
4805,418,6085506000
3625,187,6085510400
2474,98,6085508303
3191,117,6085511905
8545,522,6085512308
4643,235,6085503211
7292,191,6085503326
279,23,6085504417
6611,317,6085503115
4201,400,6085503509
2954,275,6085504320
4238,230,6085505500
6154,300,6085507905
6737,392,6085511000
3262,1186,6037241110
5849,1011,6037920030
4560,558,6037910805
2131,136,6037910809
2165,610,6037535606
5488,2900,6037534202
6209,1361,6037534900
4931,1583,6037535102
5620,920,6037535701
3684,680,6037536000
3281,620,6037536102
7306,1950,6037536200
2821,1304,6037209520
2778,798,6037211410
4049,406,6037211500
3539,1285,6037212420
3765,920,6037212800
2910,1024,6037213100
4952,278,6037216300
2810,935,6037219800
391,351,6037222700
2423,1217,6037224310
2458,1397,6037224420
4307,1845,6037228220
3058,1369,6037228320
3469,1568,6037228410
3152,1512,6037228420
5095,2078,6037228500
2650,1554,6037228900
4942,2199,6037229420
4636,1861,6037231220
5089,1347,6037231500
6732,1537,6111004101
1378,246,6111004704
5968,2161,6111000600
6630,2181,6059074902
3375,426,6059075505
4011,1217,6059075512
4273,127,6059075703
10540,605,6071002010
7996,1111,6071004504
5095,1900,6071005300
6613,3022,6071005400
8804,5614,6071005500
6059,2329,6071004202
4009,1029,6071004401
9889,4689,6071006302
4449,702,6071007404
7450,649,6071007901
1291,721,6037203300
555,91,6037206020
4408,965,6037208610
4319,1327,6037208620
5734,2820,6037209102
2743,455,6037211701
2900,241,6037135201
4977,324,6037137000
4486,483,6037137501
4836,274,6037651002
4826,149,6037651201
3483,430,6037651221
2763,197,6037670403
4767,231,6037670413
7076,392,6037670701
6461,913,6037700300
5238,662,6037701501
3512,417,6037701701
4370,502,6037702201
3513,191,6037702700
4978,1010,6037702801
6288,409,6037703001
6663,1214,6037900504
5765,2323,6037900602
4125,1399,6037900703
3941,1449,6037408800
5071,1145,6037430101
1045,96,6037430200
4729,198,6037430400
4234,549,6037431400
6869,2231,6037533603
4138,1650,6037533902
3342,1220,6037534203
4188,1874,6037534405
5102,1018,6037534501
4353,656,6037534700
3814,1223,6037535501
5633,1778,6037535804
6809,2685,6037540202
4966,1089,6037540300
4849,864,6037540501
1179,269,6037541001
5056,2347,6037542502
3236,1553,6037542601
6084,1453,6037542602
7570,647,6037543322
5339,715,6037543503
1282,115,6037550400
3655,1067,6037554101
6209,433,6037554512
2727,218,6037554513
3041,779,6037554801
6092,1033,6037554802
3537,338,6037555202
5790,2081,6037555211
4836,1227,6037555212
5254,238,6037570800
3601,665,6037407002
4446,491,6037103102
4973,1539,6037531101
1263,375,6037277400
5279,907,6037408212
4231,458,6037408626
5819,829,6037431800
4341,452,6037460302
2884,291,6037463700
2857,94,6037400205
10,0,6037402404
1922,304,6037108104
2927,281,6037113301
3566,371,6037117303
4197,1256,6037190510
3725,1363,6037192620
4552,543,6037197410
3996,872,6037910201
1367,399,6037910205
5463,409,6037910302
6903,557,6037920020
5686,158,6037920015
2766,306,6037920023
677,167,6037920033
1819,72,6037920039
3048,433,6037920041
0,0,6037920200
1616,239,6037920303
2873,265,6037920322
6621,2183,6037910603
11748,2480,6037910705
7251,374,6037920028
3502,128,6037920032
3550,495,6037920034
4867,435,6037920312
5051,307,6037920330
419,159,6037930200
7223,1608,6037540000
4853,1041,6037540902
6003,1973,6037541500
4621,1704,6037542401
4024,1239,6037543201
3831,300,6037480201
5466,1187,6037480901
3326,559,6037481300
3418,874,6037481603
2775,790,6037481714
4885,1754,6037482301
3765,956,6037482401
6835,1074,6037482600
2387,156,6037482702
6805,414,6037500201
4788,98,6037500202
2904,224,6037500300
2845,437,6037500500
6039,1078,6037500900
3783,873,6037501400
2365,407,6037501501
3441,628,6037501802
4110,459,6037501900
4856,709,6037502401
4511,538,6037401202
6166,944,6037401311
4254,793,6037401703
3475,1620,6037122410
3856,958,6037123103
3853,1675,6037120020
4975,653,6037119900
5190,853,6037120300
4459,952,6037543000
3245,306,6037603200
1879,453,6037609900
4569,52,6037620303
6159,890,6037552800
3092,578,6037553300
4766,1395,6037553601
2233,254,6037403407
4616,1007,6037122120
3942,1709,6037123010
4477,455,6037128910
4319,1485,6037134305
5547,1434,6037134710
4597,405,6037135202
4406,322,6037137302
3940,383,6037139802
5955,457,6037141302
4402,412,6037143100
5708,127,6037143800
6779,3677,6037402702
4680,951,6037402703
287,231,6037403200
2818,347,6037403303
3742,189,6037403702
6103,697,6037119800
2697,644,6037120010
3739,748,6037122200
3232,1040,6037273300
2251,170,6037273600
4390,485,6037274100
3426,1097,6029000102
3458,1364,6029000902
2572,178,6029000909
6605,3063,6029001102
9137,4445,6029002500
5763,1383,6059001201
5858,957,6059001303
3132,244,6059001403
7093,491,6059001505
7912,975,6059001704
4122,511,6059001705
3699,302,6059001706
7449,2901,6059011601
3040,66,6059021809
6440,213,6059021812
4292,275,6059021820
9680,588,6059021822
4166,96,6059021828
2796,244,6059021919
4849,249,6059021922
7075,214,6059021923
14733,587,6059032023
3857,520,6059032055
5076,423,6059099215
4139,521,6059099226
5324,432,6059099231
4379,558,6059099241
3598,266,6059099242
2808,175,6059099245
5018,277,6059099309
4399,351,6059099404
2646,328,6059099307
4622,777,6059099408
5385,214,6059099240
5741,1802,6059099248
2974,827,6059099250
2709,39,6059099504
3973,306,6059099604
4896,286,6059099605
5474,1821,6059099801
3151,208,6059110003
2926,186,6059110005
5027,116,6059110012
3726,335,6085506703
5761,379,6085506801
2957,151,6085507002
5775,567,6085507500
7807,300,6085508202
4638,432,6085509108
4986,254,6085509109
7248,1309,6085509404
5625,735,6085509500
5947,313,6085510801
2579,265,6085510803
7236,340,6085511500
4294,690,6085503703
2853,539,6085503708
6634,647,6085504002
2678,52,6085502601
3927,273,6085502907
4687,453,6085503208
8806,1171,6085503315
4127,123,6085505800
10288,610,6085505006
7134,2665,6085505700
4943,283,6085506103
6913,552,6085506202
5603,516,6085506301
6688,559,6085506302
5220,638,6085506304
7010,1038,6085503304
4521,397,6085502906
4089,182,6085503001
8118,692,6085503108
5962,525,6075015400
4430,368,6075010400
9744,1182,6075025500
5377,583,6075025600
2020,242,6075025800
6018,940,6075026001
5287,435,6075045100
6900,833,6075045200
7482,540,6075026100
3443,945,6075023300
4741,447,6075025300
3725,257,6075025401
5235,830,6075026301
5212,490,6075026302
5153,740,6075026303
2599,192,6075030500
6899,456,6075031100
5446,992,6099001300
5792,1509,6099001400
3874,1938,6099001604
10309,2792,6099000203
2089,741,6099000301
5068,796,6099000503
8842,1362,6099000504
4604,1130,6099000506
4502,654,6099000601
6540,1685,6099000805
4128,358,6099002701
7580,1573,6099001500
6731,1933,6099002004
3056,1332,6099002100
9799,1274,6099003001
11553,1648,6099003500
3225,701,6099003603
5978,1374,6099003909
4585,560,6099000101
4610,765,6099000102
4473,548,6099000806
5278,1110,6099000304
4189,546,6099000403
5392,1076,6099000505
4870,745,6099000911
2759,211,6099002803
7995,1814,6099002902
4176,328,6099003905
2405,918,6099003908
6499,1334,6099002501
8991,1236,6099003604
17483,3022,6099003202
6250,2883,6099001603
6540,2503,6099002200
7434,1990,6099003002
7934,1248,6099000202
5650,1109,6099003300
4666,1175,6099003201
5069,2661,6037242300
4971,1914,6037407701
5709,1473,6037406200
2783,453,6037408134
5553,1152,6037408301
4622,625,6037208710
3917,1057,6037211310
3736,1068,6037530500
4940,1448,6037530801
3141,476,6037530802
6074,2077,6037531302
4690,1111,6037532302
3122,935,6037532603
4520,2169,6037533104
2915,1162,6037533201
3380,1304,6037533300
3616,1398,6037533702
3626,1497,6037241400
6099,3504,6037242200
2961,134,6037262302
4894,509,6037265520
3916,312,6037143700
3907,333,6037181500
4023,1694,6037183820
3775,478,6037189600
5609,1279,6037503000
3309,344,6037503301
3435,521,6037504001
4370,876,6037530006
4279,291,6037530202
2978,754,6037530601
3502,1103,6037531102
4602,1822,6037531602
4725,1373,6037531702
4571,1449,6037531902
6878,1159,6037532200
4471,889,6037532303
3408,1236,6037532700
3325,1495,6037533103
2009,689,6037533203
5579,1561,6037533602
3317,1465,6037535400
4949,1562,6037535607
4260,984,6037201302
3446,1332,6037201503
521,150,6037207400
3974,2014,6037208903
4356,1339,6037209200
3712,1603,6037210010
3437,1063,6037211420
2978,1661,6037212203
3885,1066,6037212610
2991,329,6037214400
2447,186,6037214600
4652,1376,6037218120
2557,694,6037218500
3218,1051,6037221210
4973,1142,6037221302
2596,1129,6037224200
5009,548,6037463500
7060,1161,6037460900
5238,1025,6037461100
1488,108,6037461700
3959,718,6037480101
3227,430,6037480802
3359,973,6037501504
6656,1067,6037501600
2917,1008,6037530203
3590,782,6037530400
5343,1743,6037531201
4375,845,6037531202
5129,1589,6037531800
4169,1369,6037532304
4303,1531,6037532606
4334,1653,6037532800
7204,3343,6037532900
4658,2736,6039000602
9137,832,6039000503
6498,1085,6039000506
12199,1634,6039000700
6162,3190,6039000800
10844,5619,6039000900
10776,3157,6039000502
6852,1702,6039000508
5342,968,6039000103
2822,648,6045011200
6437,1983,6045011500
4268,550,6045011400
5618,1651,6045011600
2063,751,6045011800
4017,724,6045011700
6417,1472,6045010600
4945,1083,6045010900
6182,1925,6045010700
1933,330,6045010802
5793,1704,6045011300
2616,885,6045010100
3637,1085,6045010200
3227,702,6045010400
5510,852,6045010801
4543,1527,6045010500
3815,873,6045010300
5490,903,6087101100
3148,408,6087120302
5594,451,6087120500
2358,158,6087122202
3886,392,6087122300
6025,1001,6087100200
4340,1231,6037212900
1129,209,6061020105
6694,739,6061020200
7362,291,6061020601
6114,372,6061020605
958,63,6059099506
6442,255,6059052428
5291,381,6059052514
6209,786,6059099306
8488,3526,6059099402
2452,213,6059099407
3411,295,6059099602
6185,1541,6059099701
5464,1652,6059099803
5058,309,6059099906
5025,237,6059110004
4638,217,6059110008
2931,253,6059110011
6477,936,6059110117
2445,102,6059110118
7337,1782,6059110202
7096,477,6059110301
4837,420,6059110303
4826,484,6059110401
3301,141,6059110015
2943,201,6059099512
4235,573,6059099905
3305,204,6059110006
5098,970,6059110014
5564,779,6059110104
4991,230,6059110304
4217,696,6059110607
4232,577,6059099405
4940,556,6059099406
4847,521,6059099412
545,14,6059099502
3171,470,6059099509
4846,161,6059099514
7222,2131,6059099601
6962,483,6059099603
5962,877,6059099703
6538,1525,6059099904
5117,323,6059110007
9349,719,6111005303
5254,398,6111005304
4713,499,6029002821
5208,1426,6029000800
5444,1529,6029004101
2306,883,6029005600
5535,2798,6029004102
7318,1914,6067003000
3326,225,6067003900
3396,356,6067004012
5926,963,6059087701
4061,1154,6059087901
6685,1434,6059088301
3127,988,6067000500
1659,371,6067000800
3175,578,6067001300
2244,429,6067002100
3552,718,6067003101
3815,266,6067000100
3288,793,6067001200
5350,1494,6067001700
3024,636,6067001900
4679,202,6067002400
5106,2058,6067003202
2594,294,6053001600
4639,581,6053010202
7683,650,6053010603
5709,513,6053010604
1681,202,6053012401
3434,144,6053014301
3850,420,6053000104
7500,1622,6053000200
2882,486,6053001200
6674,1500,6053010400
2270,153,6053000101
8314,2618,6053000400
6375,1199,6053010606
2827,215,6053012402
4861,293,6053012800
3284,385,6053013000
2779,700,6053014102
4605,802,6053000300
7361,3142,6053000600
2493,1049,6053001300
3791,238,6053011900
4096,482,6053012000
2011,142,6053013100
5411,2642,6053000900
5003,1633,6053010101
6631,1196,6053010501
6010,649,6053011000
7220,2278,6013336102
3544,289,6013337100
3543,255,6013338301
3751,198,6013338201
3916,272,6037503601
4354,305,6037503602
5458,898,6037503702
4955,504,6037504002
5085,818,6037504101
4159,349,6037530005
4008,791,6037530204
4067,1851,6037533402
3213,907,6037531603
3433,876,6037532002
6520,2217,6037532101
4003,1293,6073011801
3546,783,6073012200
1614,633,6073012302
4028,718,6073012800
6357,1147,6073013104
5187,527,6073013409
4504,705,6073014001
4153,1170,6073014400
4012,554,6073014500
6973,1163,6073015000
6098,724,6073010003
6708,97,6073009504
4940,458,6073009801
4817,284,6073009805
3976,815,6073010011
15465,731,6073010014
7044,1401,6073010200
1449,202,6073010501
2126,206,6073010601
3661,215,6073017036
4336,850,6073016616
9808,857,6073016701
3348,643,6073017035
3778,119,6073017046
3248,494,6073017049
2586,88,6073017306
3550,225,6073017702
6755,538,6073017801
4675,401,6073017810
3263,244,6073018000
6646,2518,6073018200
9064,1460,6073018507
5737,1168,6073003003
4685,734,6073003105
5446,929,6073003201
5661,620,6073003209
3905,1367,6073003301
6613,777,6073003401
6081,410,6073004200
3929,434,6073004300
4528,560,6073005600
3819,255,6073008101
2195,105,6073008313
2524,136,6073008331
5052,1452,6073008343
4100,588,6073008345
3380,153,6073008355
4201,540,6073008356
4644,889,6073008359
6676,729,6073008360
6113,608,6073008504
4602,792,6073008702
4685,682,6037575002
4371,1728,6037575202
4418,628,6037576601
3625,472,6037576802
3364,267,6037577602
4789,2111,6037600201
3248,274,6037600801
5664,1600,6037600912
4850,760,6037601402
3956,1193,6037601502
6431,1679,6037602103
5547,1002,6037602106
8032,1097,6037602600
3980,435,6037602700
4331,1622,6037602900
5558,945,6037620101
2252,232,6037650102
4324,420,6037650502
3694,344,6037650603
6550,708,6037650800
1858,66,6037670406
3537,85,6037700700
2316,228,6037702802
7276,3764,6037900605
4602,1746,6037900701
2043,246,6037901007
2564,240,6037273100
4889,3827,6037265303
4866,567,6037267402
3108,993,6107003801
4603,1090,6037190100
2475,156,6037192300
4801,244,6037195100
1559,104,6037620201
6281,2338,6037232600
5104,1027,6037234000
3924,702,6037234300
5387,1313,6037237300
2968,1132,6037237500
4083,2017,6037199120
4042,1527,6037201301
5229,1524,6037203600
3299,696,6037204110
3082,1411,6037204420
4121,1676,6037204600
2623,976,6037204920
5628,4824,6037206300
4316,1142,6037207710
7017,2136,6059088901
8914,2216,6059088903
5273,1167,6059088905
5356,530,6059099232
3545,283,6059099237
3615,238,6059099239
3420,546,6059099247
5865,100,6059021830
4716,1933,6059011504
4860,77,6059011709
866,54,6059011714
3527,314,6059021810
4000,322,6059021817
4269,184,6059021921
7102,262,6059032002
6097,1238,6059032014
5123,354,6059032037
8339,1001,6071008704
5024,1492,6071008705
4265,737,6071008708
7592,2097,6071009107
5442,1794,6071010011
2088,338,6071011500
3259,606,6071001803
7414,1228,6071002602
4694,1512,6071002901
6290,1468,6071002902
7472,1422,6071010018
7250,3570,6071009500
6593,1321,6071009713
7340,3174,6071009716
5990,1514,6071010402
2880,833,6071010409
6847,2649,6071010411
4068,1420,6071010700
5012,1551,6071010019
4381,1394,6071010022
5394,804,6071010024
7461,2420,6071011800
9150,1289,6071009715
1131,389,6067000600
695,459,6067000700
4667,996,6067001800
4920,2307,6067002200
4586,942,6067002900
2843,954,6037532604
4410,1193,6037533804
6285,1929,6037533901
5089,1829,6037534001
2944,785,6037534403
5088,2172,6037534406
4924,1246,6037534502
7744,3272,6037535101
2151,786,6037535503
4334,1318,6037535604
4074,521,6037271300
4694,996,6037271600
2364,121,6037463000
5280,1235,6037293302
4393,126,6037460502
4467,2057,6037195710
2853,348,6037139502
6711,490,6037143300
4403,1475,6037211910
4330,2197,6037213201
6851,244,6037800324
4931,439,6037800326
7092,1745,6037701801
4402,473,6037702400
3983,504,6037702502
6530,395,6037800102
4254,1894,6037240800
4027,1734,6037242000
5829,2338,6037242700
