Total Population,Poverty,Census Tract
5971,915,6001450607
2079,64,6001404700
3973,273,6001404900
5188,704,6001405200
4425,1620,6001406300
3105,121,6001400100
3792,763,6001400800
6016,1488,6001401000
3497,361,6073013308
6465,467,6073013309
7911,849,6073013410
6629,802,6073013418
3692,609,6073013504
5401,991,6073013601
4157,626,6073013903
4410,1009,6073013907
5471,814,6073014602
5036,788,6073014803
6319,2659,6073015701
3491,415,6073016617
3087,379,6073016810
4826,797,6073016811
2408,242,6073017014
6402,481,6073017019
15591,581,6073017032
5776,787,6073017037
4748,546,6073017106
5315,284,6073017601
3250,98,6073000100
3446,517,6073000600
3503,539,6073012003
6303,2436,6073013203
3932,1197,6073013204
5348,797,6073013301
5193,1124,6073013303
4939,1316,6073013307
4263,249,6073013401
1482,28,6073013415
6358,1142,6073013503
4365,949,6073013506
5801,1177,6073013702
4642,642,6073014002
3472,565,6073014101
4071,881,6073014804
7717,774,6073005400
1595,658,6073005700
3541,359,6073005800
2861,490,6073006801
9606,1388,6073018611
2874,261,6073019203
3719,1125,6073019501
4422,307,6073019804
3986,1103,6073019805
2600,701,6037123205
5018,2824,6037238310
3697,1585,6037240010
6325,3035,6037240600
6367,1447,6037240700
2778,2335,6037242100
2507,137,6037603703
6046,209,6037620501
5030,454,6037620601
7735,428,6037620800
4449,122,6037621001
6537,369,6037621201
5131,303,6037651101
5700,381,6037670003
3812,216,6037670201
6179,761,6037670407
5555,111,6037670702
5198,616,6037700600
7519,1116,6037700902
4411,167,6037701601
3866,837,6037502500
6855,401,6037502601
4320,909,6037502602
4312,1253,6037502902
4125,433,6037503402
4925,389,6037503701
4713,404,6037503802
5190,1141,6037530101
7147,1316,6037577000
3652,794,6037599000
5211,1250,6037601303
5861,1498,6037602104
4151,981,6037189500
7008,902,6037650602
6774,517,6037650902
3129,623,6037131200
5257,776,6037131600
5021,1003,6037132700
4019,414,6037181300
3256,441,6037183300
2593,481,6037183510
3958,465,6085503312
5582,1319,6085503402
6612,1705,6085503506
3649,312,6071004503
5901,1598,6071003900
6750,4033,6071005600
9004,1465,6071008401
7320,376,6071008703
7315,1508,6071007403
7108,4493,6071006500
3972,459,6071007106
6017,1984,6071007200
7461,3512,6071007601
5416,1164,6071007800
3238,819,6071008100
5852,865,6071008800
5163,2887,6071009800
3674,814,6071010009
6762,1822,6071010010
7753,2729,6071010013
7924,3850,6071010020
4887,762,6055201200
2490,123,6075042800
3620,1178,6075023400
5279,701,6075016500
7022,167,6075030700
9033,805,6075035100
4849,395,6075013000
3206,213,6075026002
5096,823,6075026402
5607,617,6075030301
6543,136,6075030800
3284,340,6075025402
7563,1117,6075026200
4345,318,6075021600
7291,662,6075030900
7578,663,6075047901
2903,435,6091010000
4751,1960,6073003501
6609,1565,6073005200
4222,319,6073006000
2261,1062,6073005000
0,0,6073006200
4682,769,6073007600
4084,160,6073017047
2932,72,6073017107
7145,1248,6073018504
5008,1027,6073018509
4762,942,6073018517
4065,844,6073018612
6902,605,6073019301
5704,2120,6073019502
7918,471,6073020014
3806,240,6073020107
2208,405,6083002707
3212,343,6083000103
5168,507,6083000600
3465,608,6083000801
5879,1051,6083001000
2610,291,6083001500
5706,623,6083001601
7296,771,6083001901
6438,1122,6083001903
5735,875,6083001906
2973,377,6083002006
10127,689,6083002007
4172,662,6083002009
4416,1204,6083002103
3561,1003,6083002209
6590,1775,6083002706
5149,1814,6083002206
6256,1812,6083002303
7626,4120,6083002702
4429,785,6083002703
7425,980,6083002802
2568,475,6083002806
3813,211,6083002913
3437,160,6083002914
5348,762,6083000400
2953,682,6083001203
1100,271,6083001800
2524,137,6083001905
3039,162,6083002012
2271,333,6083002708
4201,228,6083002907
5810,303,6083002909
6860,609,6083002008
3419,544,6033001200
5792,1351,6033001000
2827,453,6043000200
1717,300,6043000400
3409,937,6049000100
1511,315,6049000200
1066,213,6049000400
2670,430,6049000300
2830,910,6115040901
7267,763,6115041000
4447,1138,6115041100
5435,1329,6115040600
4498,547,6115040800
4483,1698,6115040100
5127,2405,6115040400
3927,1459,6115040500
1044,114,6115040902
7804,1799,6115040200
13196,1635,6115040700
6051,170,6013338302
5548,622,6013349000
3148,432,6013357000
4304,936,6013307101
4305,1698,6013307202
4216,733,6013307204
2061,267,6013317000
6100,340,6013321101
6915,168,6013321102
4616,192,6013321103
4471,532,6055201700
2826,150,6055200703
5939,511,6055200802
3442,410,6055200201
1742,189,6055201800
1257,113,6055201900
1968,160,6055201500
5221,710,6055202000
2352,210,6055200203
2537,251,6055201300
5218,426,6055200501
1683,367,6055200503
4386,1325,6053000103
2614,565,6053001400
5910,757,6053001500
9209,996,6053000102
5019,535,6053010504
6378,121,6053010701
3348,207,6053010702
81,35,6053010900
5616,2169,6053011302
3438,1022,6053011400
2172,194,6053012100
171,0,6053012600
4058,164,6053013200
6096,1507,6053013300
7050,1870,6073018906
1648,262,6073019002
6400,1647,6073019205
7149,1440,6073020019
4685,2950,6047001503
5322,1217,6033000400
4033,960,6033000600
6311,1062,6033000900
3254,759,6033000100
7366,838,6033001300
3906,733,6033000300
2962,662,6033001100
7315,664,6017030803
4970,550,6017031200
3490,495,6017031301
2384,240,6017031404
2680,110,6017030502
5049,767,6017031100
4661,273,6017030801
5438,625,6017031406
2517,277,6017031503
7133,1217,6017030602
3318,675,6017030603
6692,898,6017030804
3578,491,6073009604
4299,340,6073010001
5862,2193,6073010013
3079,461,6073010015
3461,1220,6073010111
5340,1673,6073010502
3612,100,6073011000
112,0,6073011300
3816,1291,6073012002
3548,420,6073012304
3130,318,6073012900
4513,1598,6073002710
4676,582,6073003001
5105,1791,6073003004
3463,268,6073003109
4620,1191,6073003112
4451,286,6073003213
2835,1209,6073003601
4386,2083,6073003901
2570,790,6073004501
1968,386,6073004600
1701,654,6073004700
4412,1358,6073002602
6015,795,6073003107
3304,396,6073003204
6688,1602,6073003208
0,0,6073003800
4185,860,6073004400
6186,1559,6073001200
5578,1855,6073002501
6496,1968,6073002502
7544,4766,6073002904
6399,1163,6073003103
5073,698,6073003113
3380,229,6073001400
3321,113,6073002001
5473,2555,6073002202
5144,2320,6073002402
5820,2896,6073002601
4709,1857,6073002804
4258,1081,6073002905
4216,1203,6073003101
6857,2359,6073003111
3449,609,6073003114
4110,470,6073003212
4847,2055,6073003303
4055,1797,6073003902
3598,822,6073005300
9917,2463,6097151402
2373,378,6097152100
4132,418,6097152300
9340,493,6097152400
8157,526,6097152600
5653,759,6097153102
4016,677,6097153705
4638,548,6097153706
3340,500,6097154302
4367,506,6097153902
4382,309,6097150303
6022,702,6097150304
4429,552,6097150601
4742,925,6097151203
7589,1026,6097151401
5027,460,6097150901
7344,1535,6097151201
4748,964,6097151308
5147,405,6097151309
3725,640,6097152502
4691,365,6097150202
5111,753,6097150800
3351,141,6097151503
7110,973,6097151700
4903,732,6097151800
5146,571,6097152702
3251,365,6097151204
6333,883,6097153401
5436,1228,6097152903
6793,1715,6097153001
8197,987,6097153006
5106,1102,6001400700
1827,454,6001402700
1334,461,6001402900
4596,714,6001403400
4686,260,6001404600
4737,1647,6001406201
3504,436,6001406800
1895,275,6001407800
2280,112,6001408000
4428,963,6001408200
3632,442,6001409900
3244,337,6001420200
2498,260,6001420500
3698,341,6001421600
4006,326,6001421900
3347,374,6001422200
4923,846,6001435700
6146,725,6001436100
6255,555,6001440200
5846,338,6001440308
5561,337,6037276000
5473,2003,6037291210
6592,2682,6037293202
5104,1924,6037576402
3853,505,6037576700
7549,1956,6113010606
6014,2926,6113010608
8196,1247,6113011205
2674,657,6113010508
4178,281,6113010607
2500,890,6113010704
3312,1012,6113010800
7269,1520,6113011001
9110,1124,6113011300
5969,2382,6113010602
5400,816,6113010901
5732,1019,6113011500
5024,1551,6113010204
2989,349,6113011103
3195,731,6113011101
3476,1029,6113010509
5506,452,6113011204
5279,1956,6113011102
4461,1779,6023000500
5177,2419,6023001000
3338,767,6023010300
3614,603,6023010400
1893,242,6023010600
4566,1377,6023010800
5993,2060,6023000300
4608,539,6023000600
4087,1653,6023000100
5441,965,6023000200
2397,699,6023010102
5149,944,6023000900
4867,852,6023011000
5259,896,6023000800
7089,2100,6023010501
2611,597,6023010200
4327,732,6023011100
2927,417,6037121210
4473,1463,6037123104
3031,328,6037124600
5656,1599,6037127102
4832,1586,6037128302
5850,522,6037128702
5042,683,6037503202
6314,1560,6037503501
4525,476,6037503502
9,0,6037504102
4848,703,6037265700
4697,919,6037267300
3601,463,6037267502
3255,377,6037267700
3120,378,6037270200
2734,476,6037271200
4678,887,6037272100
2958,426,6037272301
4423,912,6037272302
3942,186,6037275400
4129,425,6037276601
4059,1519,6037291110
2327,566,6037291120
4288,1366,6037294610
4754,1388,6037294620
3884,1547,6037294830
3867,1410,6037296500
7298,251,6037620702
4373,1009,6037122420
2969,1203,6037123204
3908,202,6001443103
6852,393,6001450400
5303,174,6001450603
6292,136,6001450606
4014,174,6001451102
4972,139,6001451202
2650,1440,6001422700
4386,1357,6001422400
3141,1052,6001422500
67,0,6001422600
4230,785,6001423100
6393,132,6001426100
5084,745,6001427300
5529,1403,6001427600
5021,292,6001427900
7440,186,6001428302
3350,330,6001428600
5156,561,6001430800
5722,1201,6001433600
3416,353,6001437400
4919,220,6001438201
2454,63,6001420100
5368,2832,6001422900
4335,453,6001436800
7767,760,6001436401
4182,759,6001410400
4133,943,6001424001
2824,337,6001432700
6834,216,6001441503
4010,243,6001450605
6244,570,6001433400
7473,267,6001441200
5242,556,6001444400
4208,892,6001436200
2379,269,6001437900
8120,1059,6001441700
4619,1824,6067006003
5320,630,6097152701
4336,537,6097150500
2961,376,6067008140
4259,427,6067008209
5345,778,6067009111
5895,981,6067009308
7723,943,6067009310
2286,607,6067009318
6644,1507,6067009610
3348,460,6067009611
7288,889,6067009614
3790,562,6067009004
3125,379,6067009103
4210,702,6067009106
3293,518,6067009107
1913,357,6067009403
2346,515,6067001400
2714,276,6067002600
3381,1008,6067002700
5615,1544,6067003800
5845,669,6067004001
5120,1441,6067004100
7543,3367,6067004601
4870,1656,6067004802
5625,1544,6067004904
5630,2871,6067005502
3227,171,6067005701
5799,475,6067008206
6836,145,6067008501
6523,1308,6067009311
4461,585,6075047701
3877,649,6075047702
3473,1530,6075060502
11816,1651,6075060700
3771,400,6075047902
1557,180,6075060400
4510,345,6075010900
1477,514,6075011800
3407,624,6075012100
4436,355,6075012800
3487,580,6075015500
5134,2073,6075016100
4706,564,6075016300
9244,2439,6075017601
6039,1436,6075020100
5203,404,6075020600
4724,992,6075020900
4332,221,6075021800
2648,69,6075022600
4509,1678,6075023102
3573,384,6075025100
4268,209,6075017000
2854,653,6075018000
5435,380,6075021500
4485,474,6029003808
2790,86,6029003810
0,0,6029004302
2841,1147,6029004500
4011,390,6029005104
1411,619,6029003303
4350,1507,6029003600
3294,1149,6029003700
9253,353,6029003805
4851,2648,6029004402
8541,2018,6029004902
18044,5626,6029003202
7628,2284,6029003500
1385,460,6029004200
5548,432,6029005506
5683,397,6059110110
3962,152,6059110115
4933,925,6059110116
5453,563,6059110203
4425,1234,6059110606
7930,1600,6059001802
5977,606,6059011000
3960,712,6059011200
3947,644,6059011502
5018,1147,6059011602
4892,783,6059011712
6274,443,6059011715
3209,41,6059011718
5481,222,6059021905
4117,364,6059032012
5704,166,6059032020
6889,739,6059032022
6482,569,6059032027
6745,987,6059001301
3966,737,6059001304
4701,906,6059001401
4055,469,6059001506
3692,374,6059001708
3690,702,6059001903
5063,743,6059011300
1728,136,6059011503
5200,479,6059011716
2799,221,6059011717
6929,2837,6059011720
5291,1359,6059011721
7018,872,6059021802
4809,369,6059021816
3279,358,6059021827
7470,1338,6059021913
3845,111,6059021915
3888,239,6059032030
3798,343,6059032036
6648,514,6059032039
6601,1645,6085503508
3096,472,6085503601
6141,945,6085503707
6132,2854,6085503709
5654,524,6085504102
4339,422,6085504308
3791,194,6085504416
3811,341,6085504422
2253,197,6085504602
3985,525,6085505100
6463,1144,6085505202
4038,2687,6007000604
2917,454,6007001900
3936,1604,6007001300
3982,773,6007000201
4469,449,6007001600
5629,658,6007002000
4078,1584,6007003200
4289,1238,6007003300
4233,1034,6007003600
4547,1099,6007002100
3800,1067,6007000501
5843,541,6007001400
4725,1393,6007002400
4114,1869,6007001000
5157,1136,6031000403
9850,1020,6031000601
5339,453,6031000602
4387,700,6031000702
6948,2966,6031001100
2575,346,6031001200
7996,3850,6031000900
4961,2682,6031001300
4465,1779,6031001500
5193,633,6031000300
5763,657,6031000701
2319,503,6031000200
4868,1430,6031000800
9591,4114,6031001701
9991,1746,6031000404
5039,1266,6031000500
5429,730,6059074111
7659,669,6059075403
4088,519,6059042107
5053,351,6059001101
7827,662,6059001601
4392,386,6059021807
2949,221,6059021825
5602,281,6059032034
7386,1635,6059086903
3992,1091,6059088002
3337,567,6059088202
6934,1335,6059089001
3634,150,6059075702
3724,287,6059086801
7831,1979,6059087602
6679,942,6059088601
4184,364,6059099238
4535,535,6059099310
3670,218,6059110106
2663,396,6059062628
4607,459,6059063803
4550,1324,6059099249
4871,2039,6059062611
3603,1438,6059062627
6283,584,6059052511
4456,575,6111008202
5863,789,6111000400
8556,1186,6111000800
7267,1342,6111004000
5005,1235,6037127220
5331,399,6037554518
2499,352,6037552400
4698,1320,6037552602
7149,1311,6037552700
4437,677,6037554700
4239,1653,6037570303
5015,1447,6037570603
2284,302,6037570702
5658,1919,6037576200
6862,734,6037577100
5592,719,6037577200
2534,266,6037600501
2407,233,6037600502
7145,1816,6037543100
5442,1826,6037543202
6110,764,6037543304
5383,542,6037543604
3919,1160,6037302002
7679,664,6037503703
5247,716,6037501503
3087,254,6037530003
3858,1235,6037530902
3726,1272,6037531604
2533,1215,6037533105
1571,487,6037533106
5757,665,6037310100
3192,223,6037310400
6633,1597,6037320300
2747,272,6037401603
4307,457,6037401701
288,37,6037401901
4921,2026,6037402801
5037,519,6037403304
7108,732,6037403316
4998,484,6037403320
2444,203,6037403404
3010,404,6037403406
6477,1020,6037403801
4713,761,6037403902
5448,1706,6037404301
1712,264,6037404803
2659,608,6037404903
3873,1539,6037190520
4410,1572,6037190901
2466,1133,6037191203
4208,1400,6037191610
3971,191,6037214000
5907,496,6037703100
2009,1441,6037910403
6220,436,6037910807
2623,129,6037910810
8227,2738,6037920037
7448,785,6037920042
5752,121,6037920107
2066,251,6037920328
3464,951,6037900804
3272,386,6037551201
0,0,6037551600
2802,701,6037900704
4451,882,6037900805
3985,719,6037900900
3601,382,6037910206
4039,489,6037910301
4369,2247,6037910502
4907,1191,6037910707
4491,271,6037920017
3193,232,6037543701
6945,1449,6037543702
5213,676,6037543801
5218,1006,6037551300
7627,914,6037401800
7265,554,6085512005
1486,182,6085512100
4740,525,6085512401
8122,635,6085500100
2596,268,6085500400
5196,696,6085500500
7536,2119,6085501600
5285,466,6085501800
5196,369,6085501900
5920,1742,6085502002
7826,431,6085502702
6059,436,6085502901
8009,378,6085502902
6459,756,6085504507
1025,125,6085504601
5340,489,6085504802
10336,743,6085504901
3235,142,6085505304
5935,306,6085505305
6160,808,6085506503
5198,774,6085504314
4834,133,6085504317
4815,625,6085504410
4918,261,6085504412
3506,106,6085511400
5101,538,6085509902
5140,412,6085510700
2665,41,6085511702
5738,476,6085512022
4782,343,6085512027
3303,183,6085512032
8743,924,6085512033
4818,205,6085512035
5528,523,6061021109
6714,1159,6061022002
803,136,6061020104
2717,596,6061020107
8165,914,6061020602
6346,331,6061020604
4212,913,6061020300
3282,637,6061021103
4718,378,6061021902
5512,841,6061021304
1404,227,6061020106
2472,650,6061020901
1303,270,6093001200
1815,464,6093000600
4347,1609,6093000702
3558,793,6093000800
1887,542,6093001100
7136,1573,6093000900
3750,489,6093000701
1782,607,6093000200
575,180,6093000400
1873,672,6093000500
4170,895,6093000300
6531,1437,6093001000
1124,511,6093000100
3315,705,6093000703
1129,457,6089010100
4159,1129,6089010300
2899,258,6059110108
8091,1342,6059110201
5929,659,6059110302
6437,1895,6059086502
6280,1239,6059086602
9140,1834,6059086701
9217,1729,6059086803
8268,2159,6059086901
4598,883,6059087101
4292,1871,6059088201
2167,143,6059099513
4948,191,6059110010
8813,2577,6059110603
7454,713,6059110604
10996,334,6059021815
7299,607,6059021821
2839,291,6059021826
5362,286,6059021829
3190,179,6059021917
4368,398,6059021924
1675,59,6059032011
5716,404,6059032013
6532,789,6059032015
5582,124,6059032042
4489,335,6059032047
5135,596,6059042201
8415,1120,6059042310
5393,239,6059042311
5785,488,6059042315
4768,530,6059042327
4714,292,6059042338
5801,123,6059052427
5362,730,6059052521
4244,599,6059052523
19002,1856,6059052525
15525,972,6059062604
2532,129,6059062629
1591,268,6111002102
6998,1375,6111002300
9843,873,6111003605
6840,1338,6071010413
3102,1141,6071010416
4572,1006,6071010802
8243,1268,6071011600
1306,328,6071940100
5772,652,6071000108
1913,489,6029002806
4343,1978,6029002813
3916,544,6029002818
3796,1438,6029003103
8041,2510,6029003122
7798,3788,6029000200
8185,142,6029000503
6082,3289,6029001101
5999,4203,6029001202
5433,1092,6029001802
4358,2498,6029000400
3608,426,6029000507
10613,4204,6029002301
3665,1877,6029002302
8336,2729,6029002400
6403,549,6029002820
7742,2016,6029003114
5029,295,6029003806
3371,305,6081604000
3760,202,6081607300
3599,242,6081608001
3886,227,6081608200
4361,293,6081608600
2508,93,6081609000
3012,209,6081609900
2991,609,6081610302
3845,277,6081611400
7021,1201,6081612000
6555,92,6081613502
3939,505,6081613800
5323,340,6081602500
4083,304,6081600900
6276,359,6081601605
6208,353,6081602700
3845,207,6081602900
2422,561,6065031701
7633,921,6065040302
2292,109,6065040701
3043,199,6065040806
4625,630,6065041202
2618,1180,6065041410
6211,2584,6065041600
6161,2311,6065041703
3567,466,6065041002
3644,376,6065041403
16784,702,6065041409
3525,1405,6065041704
5953,628,6065041805
3615,168,6065042004
4858,572,6065042402
5328,259,6065042716
6478,1797,6065042723
6587,2273,6065043001
5713,1221,6065043005
3596,470,6065043217
4886,683,6065043222
4814,659,6065043306
2703,1567,6065043403
6812,1880,6065043508
5379,1293,6065043509
4694,835,6065044911
3629,578,6065045109
5323,1462,6065045501
6575,2019,6065045703
166,31,6065940100
4221,1774,6007002500
5358,1290,6007002700
3262,648,6007003400
3402,476,6007000601
3213,376,6037408627
6525,503,6037408703
7193,492,6037430502
4274,466,6037430723
7400,973,6037431001
4240,959,6037432202
4937,982,6037432602
5242,2209,6037432802
5277,1048,6037433601
6224,2106,6037461600
2930,237,6037462800
3001,376,6037463900
6050,387,6037464200
3084,1139,6037297120
3469,164,6037297400
3091,163,6037300501
5763,502,6037300502
5166,1073,6037301000
4292,642,6037301602
3985,918,6037302301
3138,142,6037311200
2993,558,6037400800
6532,1805,6037401704
3083,739,6037107010
2417,182,6037108101
3219,270,6037109300
3952,336,6037109400
5300,774,6037109800
6138,196,6037111204
6228,797,6037113401
4535,293,6037115301
3709,1515,6037117405
4761,1266,6037119320
2683,1203,6037120030
3578,665,6037121020
6287,852,6037122000
3306,870,6037123020
6148,1299,6037123800
5131,372,6037124000
2979,739,6037124300
3057,416,6037124500
6044,921,6037125100
3234,962,6037542900
6350,280,6037550700
7141,1690,6087100800
4419,835,6087100900
7578,2190,6087110200
4501,799,6087120200
8576,602,6087120900
6516,560,6087121200
2412,425,6087121401
5551,918,6087121500
3139,289,6087122100
1587,353,6087123300
2125,208,6087100100
3631,559,6087100600
6152,1215,6087110502
5544,364,6087120800
